"KINBRACE, BORROBOL",,,,,,,,,,,,
Grid ref,NC808260,Long,-4.030123,Lat,58.206620,,,,,,,
Station no,RR4732,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,1.90,2.03,3.75,2.41,3.01,3.10,,
February,,,,,3.60,2.97,4.09,2.70,4.74,1.75,,
March,,,,,1.60,4.79,3.00,1.94,4.20,2.50,,
April,,,,3.18,5.13,2.61,2.80,2.00,3.00,2.18,,
May,,,,1.60,1.50,1.25,4.38,2.28,1.51,2.34,,
June,,,,1.22,1.68,0.82,0.74,2.95,1.97,1.45,,
July,,,,3.40,1.00,1.45,3.85,3.85,1.02,3.00,,
August,,,,5.00,2.94,3.74,2.62,2.96,,2.38,,
September,,,,3.48,2.75,1.90,1.65,0.90,,2.00,,
October,,,,5.25,2.25,4.52,3.00,0.90,,4.90,,
November,,,,4.60,1.95,4.48,7.27,2.15,2.31,4.80,,
December,,,,1.60,2.77,2.02,3.60,2.21,1.50,4.85,,
Total,,,,,29.07,32.58,40.75,27.25,29.18,35.25,,
Calc annual,0.00,0.00,0.00,29.33,29.07,32.58,40.75,27.25,23.26,35.25,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,5.92,0.00,,
