BEDALE - BURNESTON VICARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE309850,Long,-1.527,Lat,54.260,Elevation,110,ft,,,,,,,,,,,,,,,,,,,,,
Station no,RR3011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,0.93,1.04,1.02,2.42,3.63,0.54,1.41,0.54,2.69,2.76,1.26,0.87,2.51,2.10,0.52,2.93,0.71,1.39,0.67,2.30,0.95,3.20,3.69,0.98,2.93,0.63,2.75,1.89,2.85
February,0.03,1.63,2.18,3.01,0.43,0.42,1.61,1.22,1.51,4.41,1.29,1.01,1.68,2.33,0.85,1.19,1.39,1.76,0.59,2.35,0.78,1.38,1.02,1.57,3.33,2.61,0.69,1.84,1.48
March,1.12,0.65,0.78,1.21,2.33,2.43,2.83,1.44,0.92,0.68,2.00,0.81,2.76,1.61,1.83,0.99,1.13,3.15,3.41,0.58,1.35,2.85,2.94,1.31,0.96,2.97,2.23,0.87,2.76
April,2.57,1.36,0.54,1.45,1.75,0.50,1.28,2.39,2.16,1.11,2.06,1.42,0.74,1.12,1.87,0.34,1.25,2.32,2.06,2.05,0.85,0.03,3.41,0.38,0.71,0.99,1.65,1.12,1.67
May,1.85,2.28,2.00,1.77,0.58,0.44,0.84,1.63,3.72,1.31,0.63,2.02,4.27,2.91,1.03,3.24,3.57,2.65,1.62,1.83,2.06,2.65,2.19,1.14,1.38,2.58,1.01,1.95,
June,0.12,3.39,2.29,3.39,2.46,3.14,3.21,2.14,2.47,3.06,1.03,2.04,1.57,1.79,1.61,1.17,3.94,1.18,1.56,2.09,2.30,6.43,1.09,2.85,0.92,1.66,2.57,1.00,
July,4.20,1.38,3.47,1.94,5.47,1.81,0.73,0.68,2.83,1.86,2.86,1.98,2.88,2.01,0.97,1.79,2.01,3.62,2.87,2.73,0.32,3.82,0.76,3.38,3.85,2.00,0.99,4.22,
August,3.22,4.08,2.30,2.15,2.21,1.76,3.01,2.51,0.97,5.60,1.60,2.26,2.75,2.79,2.61,2.16,1.93,1.88,3.03,3.23,2.16,3.75,1.23,0.94,5.09,1.58,8.87,2.13,
September,1.89,0.86,1.06,0.76,1.28,3.70,1.92,0.59,3.47,0.67,0.82,0.81,3.18,1.00,1.58,0.41,0.40,2.59,1.79,0.23,1.99,1.74,2.09,1.19,0.82,2.26,0.38,5.74,
October,3.77,4.31,1.18,4.17,2.73,3.78,1.83,2.85,1.90,3.28,1.51,2.31,7.25,0.74,1.59,5.13,4.14,1.57,1.94,2.52,2.15,2.08,2.54,1.71,1.05,3.04,2.68,2.01,
November,2.48,1.56,1.96,1.27,3.01,1.60,1.58,2.52,1.65,2.67,3.82,1.80,1.31,1.58,3.55,2.48,2.38,1.04,0.57,2.78,3.01,1.66,1.71,2.62,1.46,2.23,0.76,1.37,
December,2.40,0.30,2.62,1.76,1.87,3.21,2.62,1.58,2.59,1.93,2.42,1.89,1.35,1.61,0.41,1.77,2.52,1.14,3.47,2.61,4.34,1.32,1.68,4.63,6.08,1.70,1.32,3.13,
Total,24.58,22.84,21.40,25.30,27.75,23.33,22.87,20.09,26.88,29.34,21.30,19.22,32.25,21.59,18.42,23.60,25.37,24.29,23.58,25.30,22.26,30.91,24.35,22.70,28.58,24.25,25.90,27.27,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The rainfall sheets indicate that readings for 1909, 1910 and 1911 have been corrected for 'wrong day'. These readings have been retained.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
