"BASINGSTOKE UPTON GREY HOUSE",,,,,,,,,,,,
Grid ref,SU693485,Long,-1.008847,Lat,51.231488,,,,,,,
Station no,751,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.90,2.63,0.90,1.55,3.19,4.40,1.88,3.43,3.78,3.64,,
February,6.40,0.79,1.69,2.98,1.74,0.25,3.63,2.51,0.20,3.04,,
March,4.88,2.50,0.64,2.55,1.19,0.89,1.69,1.34,3.79,1.65,,
April,2.99,1.56,2.57,0.31,0.45,1.16,0.27,0.85,2.65,0.67,,
May,2.92,2.88,2.07,2.12,3.89,0.28,1.23,2.22,1.11,1.63,,
June,1.15,1.72,1.56,2.86,3.10,2.04,1.15,3.16,1.77,1.81,,
July,2.21,0.68,2.91,2.50,1.01,4.24,3.87,1.17,2.49,3.12,,
August,4.12,3.70,1.55,3.42,0.83,4.03,2.80,3.67,3.05,3.78,,
September,3.58,3.05,2.22,2.54,2.06,4.40,2.87,4.02,0.11,3.55,,
October,0.88,3.78,3.99,2.75,4.76,2.82,2.46,2.49,2.60,8.67,,
November,7.74,3.88,1.05,5.51,2.36,0.83,2.91,2.36,3.16,5.14,,
December,2.47,2.54,0.84,2.24,3.10,4.03,2.63,2.87,6.03,3.80,,
Total,43.24,29.71,21.99,31.33,27.68,29.37,27.39,30.09,30.74,40.50,,
Calc annual,43.24,29.71,21.99,31.33,27.68,29.37,27.39,30.09,30.74,40.50,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
