WALTON-PARK-CANOK-LODGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST409725,Long,-2.8509,Lat,51.44842,Elevation,152,ft,,,,,,,,,,,,,
Station no,1994,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,4.56,2.72,5.19,3.21,6.15,1.05,4.44,1.85,,,,,,,,,
February,,,,,0.29,3.79,1.92,2.61,3.07,1.02,0.61,1.74,,,,,,,,,
March,,,,,0.86,0.26,0.26,3.55,3.25,0.63,1.96,0.83,,,,,,,,,
April,,,,,2.48,1.41,2.73,1.18,1.21,0.77,3.01,2.76,,,,,,,,,
May,,,,,4.81,4.46,2.05,1.29,1.09,2.71,1.03,3.88,,,,,,,,,
June,,,,,2.85,0.02,1.85,2.72,2.72,1.95,0.91,4.7,,,,,,,,,
July,,,,,5.34,3.88,2.01,3.95,2.09,1.29,3.4,3.83,,,,,,,,,
August,,,,,5.32,3.79,3.07,3.3,2.51,3.49,3.62,3.98,,,,,,,,,
September,,,,,5.21,3.76,1.43,5.46,1.13,0.43,3.59,1.83,,,,,,,,,
October,,,,,5.33,3.77,4.39,2.73,5.97,6.33,3.45,1.08,,,,,,,,,
November,,,,,3.14,1.45,7.02,3.22,3.45,9.04,4.33,4.11,,,,,,,,,
December,,,,,4.58,4.22,0.29,2.93,3.41,7.56,3.28,2.09,,,,,,,,,
Total,,,,,44.77,33.53,32.21,36.15,36.05,36.27,33.63,32.68,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Canok Lodge Walton Park Clevedon - House not found but NGR near house called Cannock Garth which matches elevation and distance to church,,,,,,,,,,,,,,,,,,,,,
1932 Station terminated Observer died and son moved,,,,,,,,,,,,,,,,,,,,,
