LYMPSTONE-MANOR-HOUSE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX990843,Long,-3.42982,Lat,50.65,Elevation,54,ft,,,,,,,,,,,,,
Station no,1762,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,3.8,4.95,4.54,3.51,4.2,2,5.52,2.49,3.22,2.16,2.62,0.45,5.55,6.75,2.98,6.26,
February,,,,,1.62,4.01,2.3,3.3,2.27,2.39,1.52,1.9,0.02,4.37,0.14,3.76,3.43,5.87,0.88,1.56,
March,,,,,1.33,0.26,0.39,3.35,4,0.14,2.45,1.89,2.27,3.16,2.66,1.56,4.42,5.83,0.2,1.65,
April,,,,,2.91,2.55,2.51,1.8,1.52,1.13,3.3,2.33,1.69,1.92,3.13,3.44,2.39,2.94,0.17,2.57,
May,,,,,4.75,4.8,0.8,0.31,1.46,2.44,1.45,3,3.95,1.96,1.1,2.37,0.75,2.3,2.45,0.59,
June,,,,,2.81,0,3.32,2.15,1.73,2.57,0.37,2.8,3.34,3.11,1.7,3.47,2.5,1,1.69,3.3,
July,,,,,4.71,2.21,0.76,4.12,1.3,1.61,1.71,3.96,3.22,2.2,0.69,0.31,5.97,1.3,3.13,4.34,
August,,,,,3.16,1.34,0.83,2.71,2.28,1.86,3.83,4.18,2.02,0.85,3.17,2.67,0.17,1.62,4.52,3.75,
September,,,,,5.3,2.81,1.28,5.41,1.7,0.33,5.36,1.71,,2.59,2.31,2.45,3.05,2.82,1.32,1.05,
October,,,,,5.51,2.99,2.48,1.84,4.67,5.43,3.24,0.4,6.03,2.56,2.38,3.56,0.95,3.92,2.76,5.62,
November,,,,,3.54,3.12,8.23,2.6,3.09,10.17,5.68,6.55,1.78,1.36,1.84,5.78,2.6,2.18,5.48,5.21,
December,,,,,4,4.29,0.41,3.71,2.69,8.29,4.27,1.69,2.06,3.11,11.08,4.72,3.67,3.85,3.96,1.63,
Total,,,,,43.44,33.33,27.85,34.81,30.91,38.36,38.7,32.9,,29.35,32.82,34.54,35.45,40.38,29.54,37.53,
,,,,,,,,,,,,,,,,,,,,,
Nothing to locate gauge within grounds so NGR is within kitchen garden,,,,,,,,,,,,,,,,,,,,,
1927 Gauge is now 11ins above ground Previously 8ins above ground,,,,,,,,,,,,,,,,,,,,,
1932 Sept Estimated by surrounding stations,,,,,,,,,,,,,,,,,,,,,
1940 Jan Terminated,,,,,,,,,,,,,,,,,,,,,
