WESTERKIRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY308900,Long,-3.0877,Lat,55.2003,Elevation,420,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,1,,5.2,4.5,9.5,11.8,6.1,6.7,10.4,5.6,6,14,6.3,7.4,10.5,5.5,4.1,10.5,13,5.7,6.2,2.7,,,
February,,,,,,1.7,,4,0.8,5.7,4.7,7,2.2,4.7,4,4.3,6.8,4.1,8.3,8.5,5,5.7,5.7,0.9,3.9,1.7,6,,,
March,,,,,,3.6,,4.7,3.3,6.3,7,8.3,5.1,1.9,5,2.4,3.7,3.2,9.6,1.9,2.6,4.1,4.6,3.3,4.4,2.3,6.2,,,
April,,,,,,1.9,,2.2,3,4.1,1.5,0.8,5.3,6.4,1.5,0.6,2.6,6,5,3.5,2.1,5,1.5,0.4,3.8,1.1,3.3,,,
May,,,,,,1.7,,1.9,5.2,0.2,3.8,1.1,4.2,4.5,1.5,7.7,2.4,3.7,4,2,5.9,1.4,2.4,2,1.9,2.5,4,,,
June,,,,,,3.9,,3.2,1.2,2.1,7.8,3.3,7.5,4.6,5,0.4,3,2,1.7,2,2.2,3.2,6.6,2.3,2.4,5.1,,,,
July,,,,,,3,,3.9,4,2.6,2.4,8.3,6.5,1,3,3.7,3.6,6.5,1,2.6,0.9,6.7,3.1,8.4,3,2.2,,,,
August,,,,,,6.15,,3,6.4,4.5,5.5,9.3,4.4,5.1,2.6,5.8,6,4.3,5.7,1.4,1.6,4,4.4,7.5,11.3,4.2,,,,
September,,,,,,1.2,,4.7,7.4,6.9,1.6,7,3.6,10,8.2,1.9,7.8,5.2,3.2,10.8,5.4,2.3,6,5.2,5.7,5.1,,,,
October,,,,,,5.7,,3.7,7.8,4.8,9.5,3.5,11.3,4,5.1,5.1,4,5.3,6.6,2.8,9.1,4.7,6.7,7.2,12.4,4,,,,
November,,,,,,3.9,,3,2.3,4.8,2.7,11.2,2,6.3,5.4,5.8,6.5,0.7,5,5.5,2.3,3.4,8,3.8,5.4,5,,,,
December,,,,,,2.2,,6,6.7,6.9,3.5,6,9.3,5.3,8,6.4,6.8,3.9,12.2,7,1.7,6.2,7.2,3.5,5.3,5.3,,,,
Total,,,,,,35.95,45.2,45.5,52.6,58.4,61.8,71.9,68.1,64.2,54.9,50.1,67.2,51.2,69.7,58.5,44.3,50.8,66.7,57.5,65.2,44.7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856 has total on record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
