EDENBRIDGE-SKEYNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ433461,Long,0.049506633,Lat,51.196156,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,345/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,2.58,4.32,1.68,2.82,2.91,3.16,2.78,4.08,1.42,3.75,2.32,3.37,2.33,2.7,1.08,5.41,6.91,3.53,5.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,1.11,2.38,4.8,0.99,5,2.7,4.95,2.09,0.53,1.21,2.63,0.66,2.97,0.2,4.16,2.03,5.18,1.27,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,1.98,2.33,1.95,1.78,0.97,0.52,4.22,2.35,0.33,1.32,0.33,1.95,3.6,2.91,0.44,1.5,3.74,0.54,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,1.36,3.07,2.7,3.3,2.35,3.59,1.44,2.15,0.78,1.71,4.59,2.63,0.73,2.85,3.4,2.24,3.06,0.17,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,1.39,0.96,2.96,3.72,3.16,1.23,0.79,1.58,1.93,3.14,3.11,4.14,2.29,0.62,1.88,0.58,2.34,3.29,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,0.15,1.21,0.6,3.08,0.25,3.62,3.64,2.5,1.33,0.7,1.52,1.7,1.84,1.63,3.22,2.87,2.33,0.65,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,0.35,3.44,3.42,4.41,4.29,1.68,3.57,2.23,1.63,2.12,3.2,2.39,2.12,1.67,1.04,4.24,1.54,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,1.84,2.86,2.21,3.3,2.22,1.57,4.34,2.88,2.09,2.91,4.94,1.16,0.77,1.36,3.59,0.61,2.32,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,0.81,2.12,1.85,3.98,2.42,1.42,4.73,0.8,0.41,3.19,2.1,2.04,3.62,1.53,3.86,2.67,2.2,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,2.88,1.09,7.17,3.96,3.61,2.74,1.8,6.16,3.93,1.87,0.64,7.04,2.14,2.28,4.38,2.05,2.7,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,1.65,1.94,2.49,3.71,2.72,7.52,3.22,3.11,7.55,5.39,4.29,1.46,1.05,4.07,7.13,4.79,1.92,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,1.38,4.5,3.27,4.81,3.84,0.63,4.24,3.96,7.89,2.36,0.52,0.55,0.65,7.54,4.26,3.31,4.29,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,17.48,30.22,35.1,39.86,33.74,30.38,39.72,33.89,29.82,29.67,30.19,29.09,24.11,29.36,38.44,32.3,38.53,29.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
