"WEST BYFLEET (SCOTLAND BRIDGE)",,,,,,,,,,,,
Grid ref,TQ047616,Long,-0.498156,Lat,51.343851,,,,,,,
Station no,229,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.27,1.96,0.92,1.14,2.37,4.04,1.45,2.29,2.18,2.25,,
February,6.07,1.00,1.22,2.68,1.47,0.24,3.12,2.15,0.06,2.02,,
March,3.67,2.80,0.41,2.21,0.95,0.53,1.04,1.34,2.24,1.41,,
April,2.28,1.49,2.18,0.35,0.25,1.18,0.27,0.97,1.92,0.62,,
May,2.58,1.87,1.54,2.30,3.54,0.21,1.47,2.47,0.66,1.83,,
June,0.98,2.03,1.47,3.73,2.41,2.09,0.93,3.43,0.53,1.63,,
July,1.41,0.55,3.99,2.72,0.23,4.46,3.00,1.86,2.93,2.93,,
August,3.29,3.37,1.55,3.09,1.21,4.05,2.18,2.88,2.43,3.68,,
September,2.39,3.42,1.95,2.41,1.36,2.50,2.82,3.39,0.05,2.53,,
October,0.60,2.63,2.96,2.09,2.90,1.73,1.57,2.32,2.69,5.96,,
November,6.64,3.49,1.50,4.48,1.32,0.59,2.72,1.91,2.71,3.96,,
December,1.99,2.43,0.67,2.43,2.18,3.27,1.85,2.59,4.06,2.57,,
Total,35.17,27.04,20.36,29.63,20.19,24.89,22.42,27.60,22.46,31.39,,
Calc annual,35.17,27.04,20.36,29.63,20.19,24.89,22.42,27.60,22.46,31.39,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
