GRISEDALE RUTHWAITE LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY355135,Long,-2.997768,Lat,54.512681,Elevation,1750,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,7.25,22.1,8.64,8.1,5.75,18.17,3.33,7.9,2.13,9.78,18.31,11.63,6.2,4.33,17.12,9.17,5.22,15.26,3.72,12.57,9.62,10.59,5.71,7.13,11.76,12.35,10.67,19.74,3.43,13.06,11.35,13.87,20.97,7.82,9.3,10.02,11.19,13.78,10.94,20.68,2.52,19.44,9.38,27.33,15.43,15.5,4.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,3.8,2.2,0.88,3.8,11.4,18.88,1.46,8.19,12.96,10.46,9.86,7.54,4.72,3.65,15.42,6.5,5.3,5.08,4.59,6.81,3.5,12.19,12.7,8.06,8.8,20.38,19.5,12.41,1.65,13.38,1.68,11.12,0.45,9.61,15.62,1.43,8.39,12.36,7.6,9.52,2.72,0.66,9.5,0.02,8,0.77,16.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,4.46,6.16,4.55,2.47,4.59,8.3,10.47,12.7,17.96,2.73,8.56,0.64,7.1,5.64,21.3,6.36,9.54,6.07,8.7,11.59,7,8.15,3.55,16.73,15.14,11.14,3.82,2.26,3.68,4.55,7.24,14.09,17.72,6.82,6.02,1.93,2.56,3.65,10.88,10.4,0.92,6,2.43,7.73,7.29,6.85,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,4.82,3.4,6.02,1.76,1.34,4,5.95,4.17,6.95,9.33,10.81,7.18,6.29,5.75,2.95,9.84,7.85,2.38,4.96,4.7,7.18,7.35,8.95,2.19,11.83,4.56,6.22,8.13,3.7,2.28,6.75,9.88,1.96,3.5,6.8,4.84,10.59,6.23,5.78,4.35,3.06,4.24,5.14,9.5,2.9,6.93,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,5.49,6.02,4.98,6.91,4.53,8.58,0.35,0.71,4.9,4.59,7.65,6.53,3.28,5.64,5.75,4.74,5.61,11.78,9.6,6.32,4.92,4.78,5.27,3.18,5.91,5.09,1.96,6.8,5.83,2.31,3.8,10.02,7,5.35,6.95,8.6,10.43,5.55,3.43,1.52,4.23,4.37,7.32,6.67,3.15,6.9,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1.22,7.94,3.15,6.5,5.4,5,1.93,5.95,5.47,7.19,2.13,8.65,5.69,1.68,3.59,4.7,5.28,3.7,13.49,5.67,4.22,3.25,9.3,11.62,8.19,1.83,1.15,5.53,4.43,3.46,4.24,4.16,0.79,4.3,3.9,5.07,0.08,6.16,6.97,11.85,3.42,4.34,11.15,5.2,3.6,3.52,10.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,5.18,9.53,7.58,6.96,7.76,6.2,9.65,8.04,4.06,2.03,6.63,3.72,1.54,5.3,6.8,6.09,2.65,5.66,3.3,7.57,11.55,8.85,2.55,10.15,0.96,7.15,9.15,6.07,2.89,8.94,2,12.16,6.5,10.8,6.35,5.4,2.4,8.14,9.24,7.71,10,5.94,11.75,11,8.75,2.71,4.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,9.97,8.46,21.32,13.92,10.02,8.92,11.38,5.93,16.85,12.06,2.95,10.22,10.11,5.07,13.86,9,8.5,10.95,10.5,12.83,5.38,16.72,6.93,10.76,3.5,9.25,4.34,6.09,21.29,7.84,7.4,5,11.95,6.7,20,7.55,7.96,9.97,12.1,14.8,11.5,15.4,7.63,2.07,6.22,11.77,5.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,4.33,6.08,17.35,15.6,8.76,0.14,4.6,16.4,11.33,5.69,9.53,8.69,10.92,5.04,9.59,5.61,7.47,3.34,0.9,13.15,4.65,1.15,7.33,4.33,4.92,4.75,2.35,4.47,9.72,19.59,10.62,5.09,3.1,6.23,13.42,16.2,6.5,7.4,11.95,6.2,2.88,7.7,5.98,8.45,1.88,17.83,18.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,15.4,8.93,16.06,11.33,11.15,11.75,8.34,12.3,8.38,9.23,11.58,14,8.72,7.9,19.85,3.81,6.68,14.96,15.22,5.37,22.74,5.16,11.04,11.38,7.34,2.96,3.72,22.35,17.39,19.9,2.52,4.5,4.5,3.75,20.19,9.42,13.83,7.05,13,20.4,12.45,20.52,9.4,16.44,7.98,17.56,20.21,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,4.19,18.4,12.63,10.83,6.17,18.79,13.79,3.53,14.19,13.28,15.93,9.45,6.48,8.84,6.15,7,11.12,9.94,9.94,8.86,5.76,8.09,16.78,8.71,10.75,16.2,4.85,19.12,12.53,9.69,7.62,10.3,4.68,5.4,11.47,6.84,2.55,15.55,10.6,15.19,19.08,11.83,27.6,8.55,4.21,2.7,10,10.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,12.4,1.02,23.39,3.67,16,12.4,8.62,13.32,22.45,23.28,4.98,24.98,7.8,11.6,8.25,9.98,4.72,4.68,18.33,9.73,13.81,12.61,24,20.71,9.7,16.6,20.33,8.3,3.92,15.94,18.52,10.35,17.07,15,8.4,22.3,7.87,2.19,1.6,7.24,20,12.12,8.39,22.35,0.86,21.37,5.88,20.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,78.51,100.24,126.55,91.85,92.87,121.13,79.87,99.14,127.63,109.65,108.92,113.23,78.85,70.44,130.63,82.8,79.94,93.8,103.25,105.17,100.33,98.89,114.11,114.95,98.8,112.26,88.06,121.27,90.46,120.94,83.74,110.54,96.69,85.28,128.42,99.6,84.35,98.03,104.09,129.86,92.78,112.56,115.67,125.31,70.27,114.41,108.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
