GRANTHAM - DENTON HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK862325,Long,-0.720,Lat,52.883,Elevation,275,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943
January,2.50,1.20,,,,,,,,,,,,,,,,,1.70,0.74,1.64,2.36,1.73,1.13,1.46,1.72,3.42,1.11,1.95,0.90,2.78,3.27,1.13,1.28,2.08,2.37,,3.21,1.03,0.91,0.91,1.88,1.51,3.22,3.11,1.58,2.72,0.95,2.03,1.85,3.74,2.03,1.75,2.50,1.39,1.89,1.66,2.69,1.96,4.14,1.50,3.02,2.07,1.11,2.02,2.05,1.75,3.64,3.20,2.48,4.78,1.60,,1.83,1.76
February,2.35,1.70,,,,,,,,,,,,,,,,,0.73,2.38,1.81,0.88,0.09,2.07,2.97,1.90,0.91,0.55,2.97,0.61,1.50,4.77,1.69,1.42,0.80,3.16,,2.36,1.46,1.50,0.63,2.94,1.63,1.34,0.67,1.30,2.88,4.79,0.70,1.62,2.43,1.31,0.30,2.63,3.69,0.90,2.18,1.28,2.00,1.64,0.70,0.59,2.90,0.67,2.34,0.55,2.31,2.19,3.09,1.22,0.98,2.70,2.46,0.76,1.06
March,2.10,1.37,,,,,,,,,,,,,,,,,1.18,2.90,3.30,2.11,1.08,1.30,0.41,0.70,2.01,2.14,2.52,1.49,0.64,0.90,1.96,1.40,3.71,2.16,,1.44,1.35,2.58,3.89,0.83,1.65,3.00,4.02,2.73,0.94,4.47,1.42,0.89,3.82,2.90,0.85,2.10,1.31,0.57,1.06,0.57,2.16,1.58,0.14,1.72,0.44,1.91,2.92,1.88,0.96,1.37,2.94,0.25,2.11,2.16,3.25,0.83,1.13
April,1.82,0.78,,,,,,,,,,,,,,,,1.73,1.23,1.84,2.94,0.56,2.60,1.20,0.34,1.43,1.67,1.00,1.92,1.85,2.08,1.15,1.47,1.96,1.69,1.20,,0.70,2.29,2.13,1.16,1.84,0.77,0.23,2.07,1.52,0.90,1.46,1.35,1.80,1.69,4.65,1.04,3.20,1.74,2.04,1.23,2.08,1.84,0.97,1.25,2.77,3.53,2.42,0.83,2.21,2.73,1.73,2.79,0.03,2.40,1.38,1.98,1.12,0.61
May,4.50,0.40,,,,,,,,,,,,,,,,5.00,2.01,0.87,5.72,2.63,3.30,2.10,1.88,2.49,0.61,0.70,0.94,2.81,3.29,1.87,1.18,2.88,2.90,2.28,,1.63,3.60,2.02,1.01,2.46,2.13,2.53,2.01,1.75,1.38,2.29,1.29,1.44,2.04,1.68,1.78,1.27,1.70,3.31,2.79,2.68,0.88,1.73,1.24,2.50,2.81,5.04,1.42,0.77,0.56,0.68,3.61,2.71,1.18,0.81,2.97,2.81,2.46
June,1.28,1.14,,,,,,,,,,,,,,,,0.45,0.62,1.77,0.59,1.90,1.77,2.47,1.02,2.13,1.06,3.15,2.37,1.63,1.20,2.45,0.71,2.21,2.08,0.65,,2.37,2.25,1.01,2.39,1.75,2.22,3.65,1.39,2.69,1.18,1.43,1.43,0.34,0.85,2.65,1.59,1.24,0.80,2.46,0.14,2.24,3.59,2.73,1.60,0.54,2.21,0.89,1.69,0.86,2.40,3.73,0.49,1.39,2.78,1.42,0.53,1.35,1.95
July,0.50,0.73,,,,,,,,,,,,,,,,3.19,1.79,4.82,2.25,2.10,2.72,2.28,2.68,2.97,2.66,2.17,2.16,1.15,2.29,1.34,3.72,1.16,1.65,3.67,,1.45,2.54,2.13,3.70,2.75,0.22,4.95,0.63,2.39,5.96,1.98,1.95,2.52,5.30,3.53,0.55,4.68,3.84,2.74,1.55,2.53,2.08,1.26,1.07,3.40,4.14,7.31,1.30,3.09,0.22,5.48,5.48,2.89,4.68,3.10,3.26,2.52,1.06
August,1.38,0.95,,,,,,,,,,,,,,,,2.06,1.04,2.50,3.77,2.04,3.19,1.67,1.68,3.71,1.51,1.54,4.61,2.85,0.82,4.01,1.42,3.65,5.01,2.63,,1.26,2.58,2.75,2.51,2.96,1.71,5.39,0.80,1.59,2.75,2.94,6.06,1.35,2.95,0.89,3.16,5.54,1.96,2.49,1.62,2.52,2.51,2.51,1.90,2.09,3.07,2.11,0.59,1.91,1.40,1.11,1.11,4.09,4.16,0.27,4.10,2.51,1.61
September,2.85,0.80,,,,,,,,,,,,,,,,1.82,2.83,1.50,2.52,1.12,1.20,2.62,1.69,0.87,0.33,4.62,2.25,0.45,2.88,0.64,1.29,1.02,2.90,1.88,,1.17,0.80,1.66,5.29,1.05,1.26,1.18,2.26,0.73,1.12,1.78,1.38,3.81,1.99,1.50,0.66,2.01,2.34,2.85,3.11,1.41,4.23,0.54,0.76,4.06,2.81,2.23,1.96,1.12,4.80,3.12,1.11,2.52,0.95,0.69,0.49,0.91,1.40
October,0.98,3.20,,,,,,,,,,,,,,,,4.91,1.84,0.68,3.57,1.19,4.67,5.40,1.78,2.84,3.39,4.55,1.15,3.03,2.47,2.28,1.57,2.33,5.90,0.67,,4.64,4.12,1.17,3.06,2.37,2.26,2.21,4.07,2.53,1.12,1.78,3.32,1.54,1.64,1.31,1.39,1.08,2.39,4.23,2.81,2.76,2.18,3.96,2.86,1.52,0.58,3.18,2.77,0.96,2.84,1.70,2.48,2.29,3.56,2.98,2.39,2.27,1.48
November,1.50,1.40,,,,,,,,,,,,,,,,2.42,2.24,3.68,0.64,3.72,3.14,1.10,2.20,2.20,3.24,1.61,1.15,2.52,1.48,2.06,1.60,1.92,1.96,1.04,,3.43,1.82,1.05,0.57,3.71,2.34,2.13,2.13,3.24,2.49,3.01,0.94,1.86,1.75,0.86,1.49,1.55,1.98,1.64,2.20,3.25,3.00,2.87,5.03,3.22,2.21,1.78,2.18,2.15,4.54,2.72,1.31,2.32,3.35,6.23,,1.94,1.27
December,3.50,2.41,,,,,,,,,,,,,,,,,1.43,1.65,1.78,1.10,3.05,0.95,2.41,1.81,2.21,3.60,2.62,2.03,1.80,4.32,4.60,1.94,1.21,1.90,,2.79,3.01,1.39,4.08,5.47,4.38,3.69,0.96,4.55,4.59,2.50,0.76,2.39,3.67,2.26,1.34,2.96,2.66,2.03,1.92,0.86,2.89,1.91,4.28,2.30,0.89,0.87,0.33,4.30,2.78,1.83,2.38,4.71,1.64,1.63,,1.60,0.53
Total,25.26,16.08,21.90,30.34,,,,,,,,,,,,,,,18.64,25.33,30.53,21.71,28.54,24.29,20.52,24.77,23.02,26.74,26.61,21.32,23.23,29.06,22.34,23.17,31.89,23.61,,26.45,26.85,20.30,29.20,30.01,22.08,33.52,24.12,26.60,28.03,29.38,22.63,21.41,31.87,25.57,15.90,30.76,25.80,27.15,22.27,24.87,29.32,25.84,22.33,27.73,27.66,29.52,20.35,21.85,27.29,29.30,29.99,26.90,32.57,24.97,,20.45,16.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_04_pt1/034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_06_pt3/017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
