BOSHAM-COUNCIL-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,SU812044,Long,-0.84831342,Lat,50.833447,Elevation,20,ft,,,,,,,,,,,,
Station no,424/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,2.065,0.55,4.02,5.29,3.67,5.44,3.08,3.74,3.38,,2.29,2.12,2.35,3.06,5.52,1.08,0.98
February,,,,0.01,3.26,2.76,5.28,0.64,1.38,3.93,2.04,1.04,,0.71,2.23,3.18,2.6,1.34,1.03,5.88
March,,,,2.44,0.55,1.62,3.48,0.55,1.25,3.18,1.62,1.36,0.7,0.23,1.25,1.06,6.68,0.64,1.27,1.18
April,,,,1.94,3.23,1.7,2.29,0.07,2.71,1.04,0.56,1.03,0.93,1.98,1.22,1.86,1.86,1.66,1.01,1.92
May,,,,0.56,0.63,0.24,1.88,1.51,1.38,1.07,1.52,1.76,2.77,0.59,1.63,4.12,0.85,2.38,1.49,1.2
June,,,,1.37,2.25,3.58,0.91,0.46,1.07,0.21,1.02,0.12,1.76,1.32,2.16,3.93,1.52,1.75,0.47,1.24
July,,,,1.5,0.91,4.1,1.67,1.28,2.51,2.74,1.9,1,2.56,2.75,5.41,1.66,1.3,0.9,0.26,3.06
August,,,,2.99,2.58,0.49,2.09,2.11,1.63,0.04,2.3,2.15,1.07,2.34,1.59,5.84,0.71,3.99,0.89,2.55
September,,,,1.94,3.55,2.71,2.03,2.31,0.99,1.24,0.14,1.94,1.55,1.95,1.84,3.3,1.63,1.6,2.71,2.53
October,,,,1.64,3.76,1.32,2.73,3.54,6.17,3.16,0.91,2.59,4.14,4.12,2.99,1,1.04,1.89,8.31,0.47
November,,,,3.29,8.03,4.84,1.86,3.94,6.63,6.41,1.8,1.09,1.84,5.82,0.33,4.59,1.61,2.15,3.29,5.55
December,,,,8,3.75,1.96,4.58,3.07,1.75,1.57,0.55,1.89,2.72,2.47,4.37,3.44,2.96,3.79,2.25,2.84
Total,,,,27.745,33.05,29.34,34.09,23.15,32.91,27.67,18.1,19.35,,26.57,27.14,36.33,25.82,27.61,24.06,29.4
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1943 Jan Feb estimated,,,,,,,,,,,,,,,,,,,,
