WEST-GRIMSTEAD,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU202273,Long,-1.713233,Lat,51.044701,Elevation,250,ft,,,,,,,,,,,,,
Station no,1527,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,4.28,2.04,2.87,2.79,2.85,0.68,5.13,,,,
February,,,,,,,,,,,,2.25,0.15,4.54,0.07,3.84,2.77,,,,
March,,,,,,,,,,,1.14,0.64,2.38,4.1,3.48,0.94,2.75,,,,
April,,,,,,,,,,,2.82,2.73,3.32,1.41,2.04,3.83,2.04,,,,
May,,,,,,,,,,,1.44,2.47,4.73,1.38,0.89,1.68,1.06,,,,
June,,,,,,,,,,,,2.5,2.04,2.08,1.79,4.46,2.47,,,,
July,,,,,,,,,,,,3.44,2.71,2.34,1.27,0.54,4.25,,,,
August,,,,,,,,,,,,5.02,1.22,0.41,2.68,2.23,0.47,,,,
September,,,,,,,,,,,,1.67,3.41,3.1,2.18,3.77,3.41,,,,
October,,,,,,,,,,,1.85,0.52,4.94,2.72,1.77,6.23,2.13,,,,
November,,,,,,,,,,,4.77,5.26,1.89,0.73,2.19,7.44,3.38,,,,
December,,,,,,,,,,,3.53,0.77,1.51,0.76,9.59,4.99,4.1,,,,
Total,,,,,,,,,,,,29.31,31.17,26.36,30.8,40.63,33.96,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"1930 Feb, Jun-Sep estimated",,,,,,,,,,,,,,,,,,,,,
