KENILWORTH U.D.C. OFFICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP289721,Long,-1.577182,Lat,52.346217,Elevation,294,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2459/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.8,5.21,2.37,2.86,2.93,4.12,2,1.59,1.93,2.03,3.98,1.3,0.5,2.55,1.99,1.02,0.98,2.38,3.91,1.24,2.29,4.1,4.57
February,,,,,,,,0.76,1.07,2.45,2.94,0.9,1.15,1.1,2.11,1.99,1.34,0.98,0.81,4.65,2.98,0.39,1.25,2.86,1.78,0.58,2.81,3.56,0.1,1.9
March,,,,,,,,0.26,1.33,1.96,2.01,1.9,0.74,0.17,0.86,0.84,5.67,0.97,1.78,1.27,3.25,2.37,1.16,2.57,2.66,0.75,2.15,1.34,1.53,1.29
April,,,,,,,,0.07,1.63,2.56,1.1,1.39,0.68,1.87,0.57,2.35,1.95,1.44,1.98,2.1,2.57,2.2,2.97,0.54,0.92,0.79,0.2,1.02,2.72,0.66
May,,,,,,,,1.61,1.22,1.72,2.24,3.58,2.73,1.19,2.17,2.17,1.82,3.13,2.26,1.97,3.24,2.94,1.38,3.44,4.21,0.61,1.25,2.3,0.51,1.3
June,,,,,,,,1.76,1.3,1.3,1.28,0.29,2.94,2.32,2.65,2.67,0.83,2.36,0.44,1.87,1.16,1.54,1.67,2.6,3.03,2.01,2.32,4.09,0.75,2.35
July,,,,,,,,2.64,5.04,2.63,3.74,1.28,0.87,2.11,1.86,2.21,2.33,2.06,3.61,2.4,2.67,0.39,3.01,3.26,0.52,1.99,3.74,4.01,0.84,3.2
August,,,,,,,,5.14,3.77,0.14,2.55,2.25,1.55,2.18,1.86,4.99,0.05,6.28,1.28,2.79,5.59,4.36,3.98,3.54,0.33,5.28,2.41,3.97,1.63,2.89
September,,,,,,,2.59,2.43,1.02,1.11,0.19,0.83,1.69,3.5,1.53,2.52,1.73,3.12,1.84,4.09,1.84,1.98,1.88,2.09,1.59,1.96,4.48,3.14,0.02,3.63
October,,,,,,,3.65,2.85,3.76,3.58,2.44,2.43,2.31,2.21,3.08,0.55,0.14,2.4,6.82,0.72,1.23,4.04,2.61,3.48,1.23,1.59,1.39,2.71,2.53,4.72
November,,,,,,,1.73,2.8,4.36,7.11,2.69,1.43,1.38,3.83,0.28,5.34,1.54,1.52,2.54,4.38,6.2,2.41,1.03,5.51,2.08,0.38,1.67,2.06,2.81,3.54
December,,,,,,,2.23,3.45,2.95,1.82,1.36,2.86,0.77,1.12,3.15,2.11,1.81,3.21,1.27,1.48,2.33,2.39,1.1,1.94,1.98,2.71,2.15,3.01,4.02,3.58
Total,,,,,,,,26.57,32.66,28.75,25.4,22.07,20.93,23.6,21.71,29.67,21.24,31.45,25.93,28.22,35.61,27,23.06,32.81,22.71,22.56,25.81,33.5,21.56,33.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10170,KENILWORTH ,01/01/1937,31/12/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,
