"NETHERTON FARM LODGE RESERVOIR",,,,,,,,,,,,
Grid ref,SO938873,Long,-2.092726,Lat,52.483585,,,,,,,
Station no,2420,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.00,1.26,0.79,1.98,2.18,0.89,3.02,0.96,0.96,0.93,,
February,2.75,0.99,1.09,1.13,2.95,0.58,1.86,0.96,1.18,0.66,,
March,0.72,1.85,1.26,4.15,1.35,3.05,0.94,0.75,2.57,2.25,,
April,0.96,1.59,2.04,1.20,1.18,1.59,1.62,2.07,2.06,1.89,,
May,1.58,1.16,2.76,2.02,2.27,0.34,2.61,3.40,2.41,1.22,,
June,2.23,2.83,1.66,1.49,0.40,2.11,3.00,2.55,2.36,3.35,,
July,1.74,1.91,1.12,1.93,3.08,1.61,0.93,1.91,1.79,3.55,,
August,1.83,1.82,3.42,4.68,2.11,4.61,0.98,2.84,2.87,1.65,,
September,0.88,0.93,0.96,3.21,1.89,0.81,1.27,0.68,1.86,2.94,,
October,3.38,1.59,2.18,5.55,0.67,1.33,4.68,5.41,1.70,2.68,,
November,1.93,1.02,1.75,1.68,1.19,2.53,2.63,2.01,1.91,0.73,,
December,4.16,3.99,1.51,1.64,1.76,0.74,1.64,2.77,1.85,3.21,,
Total,25.16,20.94,20.54,30.66,21.03,20.19,25.18,26.31,23.52,25.06,,
Calc annual,25.16,20.94,20.54,30.66,21.03,20.19,25.18,26.31,23.52,25.06,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
