SUTTON BRIDGE - SOUTH HOLLAND SLUICE,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF476200,Long,0.186,Lat,52.757,Elevation,21,ft,,,,,,,,,,,,,,,,
Station no,2525/3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.10,2.24,3.93,1.22,4.45,2.70,4.77,2.27,2.52,1.43,1.84,3.23,1.10,1.11,2.51,1.88,1.29,1.54,2.32,4.00,1.25,3.23,3.09,3.48
February,2.36,0.78,0.72,2.11,2.97,1.22,0.72,1.56,2.07,3.08,1.39,0.72,0.72,3.25,2.48,0.64,1.48,2.18,2.69,1.79,3.26,2.92,0.17,1.57
March,2.87,0.29,1.62,2.06,3.68,1.65,0.69,0.43,0.93,0.86,3.91,0.51,0.99,0.62,3.47,2.29,1.09,2.08,1.85,0.78,2.00,1.41,1.97,1.71
April,2.54,0.38,1.88,1.68,0.85,0.66,1.07,2.04,1.29,1.29,1.08,0.79,1.87,2.74,3.50,1.24,2.04,0.41,0.82,1.23,0.35,0.89,1.39,0.43
May,3.68,1.89,0.76,0.89,1.79,3.04,2.58,1.04,1.54,1.35,0.31,3.85,1.91,2.57,2.58,2.39,1.86,3.53,2.56,1.05,1.44,2.70,0.45,0.58
June,1.65,0.91,2.23,0.38,0.78,0.78,1.85,1.76,2.42,1.86,2.95,2.89,1.09,1.59,1.02,1.27,4.15,2.49,1.85,2.62,2.78,4.49,1.04,2.70
July,2.61,2.37,1.74,3.66,4.01,3.61,0.90,2.35,1.02,2.50,1.85,0.97,1.85,3.37,0.84,0.34,1.65,2.52,0.27,3.07,2.49,3.46,3.19,2.79
August,1.26,1.41,1.42,0.71,4.47,3.24,1.53,1.80,2.13,2.56,0.08,4.11,1.86,2.46,3.67,1.87,2.03,3.81,1.05,5.00,2.42,2.74,1.11,3.84
September,1.93,2.41,1.21,0.92,0.89,1.47,1.65,4.52,1.92,3.28,0.81,1.86,0.68,3.04,1.82,2.84,0.96,2.41,1.25,1.44,3.53,2.49,0.09,1.71
October,1.75,2.16,3.40,2.61,3.58,2.40,1.40,2.80,2.00,2.63,0.26,3.17,3.21,0.74,1.28,1.69,2.36,2.85,2.12,1.26,1.24,1.12,1.63,4.16
November,1.77,1.87,3.80,5.09,3.19,2.81,1.83,3.16,0.83,4.10,1.59,1.44,2.58,4.14,3.13,2.99,1.54,4.06,0.82,0.98,1.63,1.30,1.24,2.99
December,3.12,3.34,1.75,1.96,0.90,2.37,1.06,1.31,2.26,1.84,2.04,1.54,1.56,1.81,1.46,1.91,0.95,2.09,1.41,1.59,2.41,2.33,3.51,3.35
Total,28.64,20.05,24.46,23.29,31.56,25.95,20.05,25.04,20.93,26.78,18.11,25.08,19.42,27.44,27.76,21.35,21.40,29.97,19.01,24.81,24.80,29.08,18.88,29.31
,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/071,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/157,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/153,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 2007 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,
