SOTTERLEY HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM461852,Long,1.617,Lat,52.409404,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,1.66,,1.62,1.45,2.16,1.87,2.16,2.78,1.64,1.29,0.98,2.12,1.88,1.01,2.25,,3.01,1.13,2.48,1.19,2.2,,0.44,0.96,1.72,2.2,0.95,4.08,1.67,0.65,0.79,2.37,1.56,2.52,3.1,1.99,3.31,1.62,,,,,,,,,,2.3,1.43,3.53,1.68,1.77,2.14,0.73,0.85,1.6,2.77,3.29,4.37,1.98,4.46,,,,,,,,,,,,,,,,,3.8,1.66,2.01,2.34,4.18,,
February,,,,,,,,,,2.59,,2.48,1.8,2.43,0.92,2.67,0.5,0.57,2.47,1.82,0.75,0.06,1.69,2.49,,0.87,0.91,2.25,0.88,1.21,,1.62,0.57,0.41,2.52,1.31,2.44,1.33,2.09,0.87,2.47,1.13,1.14,0.56,1.45,2.89,4.83,,,,,,,,,,2.29,2.01,0.95,0.69,1.29,2.98,0.67,2.02,0.41,1.96,2.88,3.37,0.9,1,,,,,,,,,,,,,,,,,1.94,2.18,3.24,0.14,1.53,,
March,,,,,,,,,,1.17,,2.28,1.67,1.83,1.32,1.03,1.57,1.67,3.55,1.27,2.04,1.7,1.7,0.31,,1.58,3.14,2.47,1.65,1.49,,2.08,1.5,1.71,1.67,2.01,1.76,1.13,2.29,3.01,0.92,1.9,2.97,2.18,3.6,1.87,4.04,,,,,,,,,,0.34,1.66,1.39,0.07,1.16,0.54,1.6,1.34,1.6,0.63,0.46,2.31,0.42,2.09,,,,,,,,,,,,,,,,,0.61,1.58,1.3,0.64,1.15,,
April,,,,,,,,,,2.89,,1.03,3.17,1.67,1.43,1.67,1.23,1.14,1.29,2.11,1.13,1.18,2.25,0.11,,0.76,1.06,2.1,1.12,3.16,,2.22,1.57,2.37,0.9,2.3,0.69,2.92,2.66,1.47,1.99,0.98,0.52,2.58,0.76,0.9,1.89,,,,,,,,,,2.88,2.83,1.38,1.14,2.08,2.94,3.28,0.71,1.87,2.36,1.18,2.22,0.64,3.01,,,,,,,,,,,,,,,,,0.84,0.32,1.15,1.69,0.64,,
May,,,,,,,,,,2.11,,1.08,1.53,2,0.89,3.13,2.17,1.99,1.2,2.95,1.47,2.73,1.16,1.21,,0.59,0.42,0.98,3.53,2.34,,0.93,3.51,2.17,2.52,1,2.12,2.7,1.25,1.32,3.9,0.58,0.5,1.21,1.55,2.17,1.36,,,,,,,,,,1.62,0.63,1.6,0.76,2.11,3.23,2.66,1.68,1.7,0.97,1.23,3.23,2,0.75,,,,,,,,,,,,,,,,,0.83,1.38,3.34,0.29,0.22,,
June,,,,,,,,,,2.9,,1.95,3.48,2.33,1.03,0.77,0.73,0.07,1.39,2.33,2.31,1.22,3.13,1.26,,0.84,1.92,1.97,2.16,1.01,,2.28,1.85,2.9,0.7,3.85,1.67,2.19,0.83,4.5,1.88,2.55,3.35,1.5,1.5,2.04,2.4,,,,,,,,,,2.54,4.14,1.83,0.52,0.65,1.6,0.38,2.28,1,2.21,3.11,1.09,0.86,1.11,,,,,,,,,,,,,,,,,2.14,3.21,2.2,0.83,1.14,,
July,,,,,,,,,,6.13,,1.27,2.92,3.07,2.22,1,4.04,1.2,6.37,3.48,4.34,3.51,1.97,2.48,,3.8,0.67,0.64,1.6,2.6,,0.93,2.05,3.82,2.95,0.5,0.26,1.12,2.41,2.34,4.51,0.55,2.56,3.77,2.9,5.11,0.8,,,,,,,,,,1.85,2.33,2.23,2.73,4.13,4.42,2.67,0.85,0.98,0.9,3.92,1.58,2.32,2.37,,,,,,,,,,,,,,,,,2.44,3,2.22,1.5,3.13,,
August,,,,,,,,,,4.61,,4.11,2.03,0.94,0.87,1.09,1.6,2.14,2.12,3.25,2.53,3.26,4.42,1.19,,2.76,2.17,1.64,1.9,0.54,,1.21,3.19,3.73,2.62,3.87,0.66,1.3,1.99,2.02,2.53,0.66,7.73,1.12,1.13,2.01,4.47,,,,,,,,,,1.42,3.51,2.07,1.36,3.11,3.26,2.53,1.63,1.59,2.05,1.16,0.88,1.1,4.16,,,,,,,,,,,,,,,,3.69,3.62,3.16,2.71,1.76,3.35,,
September,,,,,,,,,,3.34,,2.82,3.27,2.42,5.17,6.06,1.99,2.54,1.62,3.83,0.86,1.15,1.94,0.65,,0.71,3.85,2.75,0.29,3.07,,0.95,1.46,3.07,2.14,1.74,2.28,0.39,1.19,2.91,2.06,1.78,3,1.77,0.88,2.64,0.77,,,,,,,,,,0.56,3.77,1.47,0.31,5.5,2.56,1.63,3.18,1.57,3.6,2.87,2.39,2.79,1.24,,,,,,,,,,,,,,,,1.38,1.33,3.33,2.42,0.15,3.78,,
October,,,,,,,,,,1.26,,3.67,6.11,2.85,3.94,6.36,2.5,3.11,1.23,5.96,1.64,4.46,8.76,1.73,,5.35,3.5,0.68,3.02,1.44,,1.95,1.63,3.96,0.92,4.17,3.19,4.16,1.5,4.95,1.3,2.33,1.69,3.22,2.2,2.33,2.83,,,,,,,,,,2.59,2.17,1.98,3.14,0.62,1.07,4.37,3.42,1.59,2.38,2.32,2.3,2.88,8.55,,,,,,,,,,,,,,,,4.37,3.26,1.52,2.65,2.28,7.33,,
