FERNHURST-ASHURST,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU901280,Long,-0.71613492,Lat,51.044298,Elevation,280,ft,,,,,,,,,,,,,
Station no,463,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,3.96,5.06,2.03,2.93,4.44,5.3,2.33,5.71,,4.78,2.72,5.3,,,,,,,,
February,,0.14,3.61,6.04,0.7,5.79,2.48,5.05,2.37,,1.48,2.66,0.34,,,,,,,,
March,,1.25,2.66,2.38,1.7,0.55,0.36,4.18,2.24,,1.23,0.76,2.01,,,,,,,,
April,,1.05,4.07,3.12,3.71,3.72,3.28,2.07,2.3,,3.22,3.31,3.59,,,,,,,,
May,,2.05,1.18,2.87,4.53,4.75,2.78,1.25,2.04,,1.94,2.95,4.73,,,,,,,,
June,,0.08,1.77,0.39,2.93,0.03,2.66,3.13,3.1,,0.47,1.45,1.82,,,,,,,,
July,,0.36,4.47,1.06,4.46,3.27,1.68,2.57,1.77,,3,3.9,5.25,,,,,,,,
August,,3.21,2.79,2.34,2.78,4.21,1.21,4.87,2.72,,3.85,5.38,0.84,,,,,,,,
September,,1.13,1.59,2.25,5.18,2.86,0.44,6.55,1.36,,2.81,2.2,2.46,,,,,,,,
October,,0.93,1.14,7.01,4.26,4.61,2.4,2.57,7.16,,1.96,0.55,6.66,,,,,,,,
November,,2.24,2.22,1.78,3.61,3.67,8.16,3.9,3.52,,6.21,4.44,,,,,,,,,
December,,2.19,5.09,3.18,5.59,3.69,0.26,5.34,3.66,,3.44,0.89,,,,,,,,,
Total,,18.59,35.65,34.45,42.38,41.59,31.01,43.81,37.95,,34.39,31.21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1929 estimated,,,,,,,,,,,,,,,,,,,,,
1932 Nov Dec estimated,,,,,,,,,,,,,,,,,,,,,
