"DALTON LE DALE PUMPING STATION",,,,,,,,,,,,
Grid ref,NZ410469,Long,-1.363527,Lat,54.815286,,,,,,,
Station no,3532,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.95,1.51,0.65,2.34,2.07,0.20,2.51,0.44,0.95,0.67,,
February,5.14,1.96,1.22,0.99,2.34,0.58,1.15,1.17,1.09,1.44,,
March,1.95,1.94,0.69,1.49,1.21,1.27,0.92,0.72,2.79,4.31,,
April,0.76,1.27,1.64,1.57,0.94,3.00,0.99,2.01,2.41,2.43,,
May,1.34,2.29,2.33,3.02,3.06,0.77,5.62,4.58,1.31,1.65,,
June,3.33,1.58,2.48,3.03,1.37,0.68,0.85,2.94,0.42,2.35,,
July,2.22,1.87,2.46,4.29,1.81,1.67,0.79,1.36,2.50,2.87,,
August,5.35,2.21,1.65,2.54,3.42,2.67,1.94,1.76,1.44,3.35,,
September,0.57,1.19,0.94,2.51,0.88,2.09,0.37,0.26,1.77,2.21,,
October,7.17,1.73,2.22,8.38,0.56,2.66,4.62,4.32,0.98,2.09,,
November,2.78,4.46,1.25,2.33,2.22,5.26,2.90,1.59,1.61,1.07,,
December,2.38,2.86,2.72,1.62,2.09,0.42,1.73,2.89,0.91,3.70,,
Total,35.94,24.87,20.25,34.11,21.97,21.27,24.39,24.04,18.18,28.14,,
Calc annual,35.94,24.87,20.25,34.11,21.97,21.27,24.39,24.04,18.18,28.14,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
