TONBRIDGE-PINNACLES,,,,,,,,,,
Grid ref,TQ592481,Long,0.27776841,Lat,51.209921,Elevation,140,ft,,
Station no,RR8355,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,1.12,2.55,3.91,0.68,3.01,1.09,1.27,2.11,
February,,1.31,1.78,0.85,3.51,4.11,4.82,0.82,0.93,
March,,2.7,4.06,2.52,5.03,0.62,3.63,1.81,0.99,
April,,2.55,0.1,2.94,1.31,1.27,1.43,2.45,3.36,
May,,1.69,1.22,2.36,0.92,3.81,2.24,2.16,1.93,
June,1.68,2.07,3.13,0.58,0.57,0.41,2.87,2.61,0.86,
July,2.41,0.36,1.18,2.17,1.47,3.61,1.11,4.56,4.9,
August,2.17,0.56,5.42,1.12,1.2,2.16,2.74,4.8,1.82,
September,0.53,1.5,2.88,1.48,0.84,2.63,1.16,1.39,5.41,
October,2.49,4.17,3.17,4.92,1.63,2.02,3.81,3.67,1.73,
November,3.85,5.69,2.15,3.32,4.13,2.84,4.74,1.6,2.51,
December,3.43,5.89,2.79,1.06,7.06,6.52,3.14,2.43,2.09,
Total,,29.61,30.43,27.23,28.35,33.01,32.78,29.57,28.64,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1916 Total corrected,,,,,,,,,,
