LINDFIELD-MALLING-PRIORY,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ3478225620,Long,-0.079967615,Lat,51.014173,Elevation,160,ft,,,,,,,,,,,,
Station no,RR7802,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,,3.91,,2.96,4.99,1.01,4.49,1.81,,,
February,,,,,,,,,,,4.86,,2.9,1.17,4.65,5.23,4.63,,,
March,,,,,,,,,,,1.71,,5.04,3.31,5.89,1.16,4.07,,,
April,,,,,,,,,,,1.63,,0.29,3.36,1.8,2.01,1.55,,,
May,,,,,,,,,,,2.33,,1.73,2.32,1.21,4.31,2.69,,,
June,,,,,,,,,,,1.87,,2.98,0.69,0.69,0.6,2.76,,,
July,,,,,,,,,,,2.88,,2.17,2.63,2.04,4,0.76,,,
August,,,,,,,,,,,2.56,,7.85,1.67,1.12,1.77,2.37,,,
September,,,,,,,,,,,0.35,,2.76,2.65,1.55,1.81,1.95,,,
October,,,,,,,,,,5.82,3.08,,2.42,5.66,2.5,3.37,5.32,,,
November,,,,,,,,,,1.6,4.99,,3.08,3.63,4.62,3.51,5.63,,,
December,,,,,,,,,,,,,3.78,1.14,9.04,8.66,4.11,,,
Total,,,,,,,,,,,,,37.96,33.22,36.12,40.92,37.65,,,
