WESTERHAM HILL PUMPING STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ439558,Long,0.061982,Lat,51.28317,Elevation,539,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,3.63,4.37,0.91,0.78,2.7,5.21,1.23,5.6,1.34,1.55,1.11,2.38,1.6,5.68,3.58,0.77,4.15,2.69,1.79,3.61,4.24,3.74,3.13,3.79,1.83,3.28,3.02,3.93,2.7,4.7,1.25,3.97,2.27,2.36,1.86,2.6,1.59,5.95,6.18,4.2,5.69,2.83,3.1,3.96,6.17,2.47,2.8,2.58,3.25,4.46,1.51,1.48,3.5,2.76,1.46,2,4.35,4.89,2.18,3.27,3.08,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,2.62,4.87,1.53,1.41,1.97,3.62,0.93,2.93,1.68,1.29,0.65,4.02,1.68,2.36,0.93,3.67,4.24,4.58,0.9,1.57,2.35,0.75,0.57,3.04,4.24,0.96,4.19,3.26,5.16,1.89,0.58,1.48,2.96,0.83,2.53,0.31,4.48,2.24,5.47,1.34,1.73,2.69,3.81,1,2.25,1.46,2.27,3.23,1.97,2.67,1.42,5.28,7.03,1.23,2.03,2.56,2.34,0.89,4.41,2.84,0.19,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,0.83,1.06,2.95,1.83,3.15,1.63,4.21,1.89,1.3,2.98,3.81,1.45,2.44,3.71,2.77,5.65,0.76,5.44,1.95,1.05,3.89,1.35,2.08,2.62,2.67,1.47,1.24,0.58,3.78,2.52,0.05,1.88,0.45,1.81,3.64,2.57,0.47,1.42,4.34,0.48,1.59,3.22,3.54,2.83,0.4,0.08,1.51,1.79,6.62,0.88,1.03,1.49,4.37,4.1,0.48,2.84,1.75,1.14,1.61,1.98,1.94,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,3.35,1.18,2.42,0.85,2.48,1.3,1.97,1.03,3.41,3,1.65,1.9,2.46,0.11,3.42,1.14,1.56,2.16,2.55,3.81,2.97,3.33,1.79,4.1,2.71,4.51,2.92,4.97,2.07,2.44,1.26,2.08,5.01,2.66,0.86,3.02,3.75,2.63,3.52,0.47,2.69,2.03,2.01,1.69,1.5,1.72,1.39,3.32,2.01,1.66,1.94,4.19,3.39,1.7,2.6,0.37,0.3,1.77,0.31,1.71,2.34,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,1.19,1.45,0.81,2.81,2.43,2.5,0.69,1.48,1.66,2.13,1.36,2.66,1.01,0.94,1.06,1.7,3.33,2.78,2,2.39,0.09,0.8,1.6,1.49,3.2,3.7,3.08,1.57,1.41,2.52,2.07,3.53,3.31,4.73,1.97,0.67,1.76,0.45,2.33,2.68,1.81,1.71,2.43,3.67,2.85,0.59,2.58,3.63,1.83,1.98,1.82,1.3,2.25,1.48,1.86,3.01,4.43,0.56,1.74,1.78,1.17,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1.19,2.82,1.79,4.72,5.58,0.76,5.62,2.52,2.19,2.01,3.74,2.23,2.26,2.93,0.26,1.01,0.63,3.18,2.26,1.05,1.1,1.98,0.16,1.83,0.62,2.71,0.23,3.69,4.58,3.58,1.31,0.63,1.62,1.13,1.81,1.65,3.64,3.38,2.27,0.66,0.91,0.66,2.69,0.14,1.34,2.01,2.03,2.69,2.67,3.86,1.09,2.7,1.5,1.85,1.69,4.32,2.11,3.93,1.52,4.73,1.39,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,1.41,1.17,2.13,1.61,5.21,1.41,0.71,1.38,1,3.62,3.38,2.65,0.35,1.59,1.73,1.79,4.62,1.04,4.96,4.85,2.03,4.98,0.28,3.68,2.9,5.5,3.99,2.09,2.78,2.07,2.23,3.53,2.89,2.45,2.13,2.52,0.84,4.58,0.94,2.21,2.53,3.27,2.43,2.55,2.89,1.96,3.78,2.44,1.82,1.96,0.83,2.9,2.46,0.86,4.17,3.25,0.57,4.84,3.13,2.43,1.36,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,1.15,3.37,2.12,3.1,4.71,1.12,2.5,0.6,2.47,4.28,2.15,2.08,0.62,5.81,1.57,1.29,3.05,3.04,6.63,1.13,2.57,1.82,1.7,3.07,2.35,4.08,2.24,3.5,5.99,2.88,2.62,3.11,5.08,1.33,0.97,2.17,3.97,0.75,2.36,1.75,3.68,0.08,4.86,3.78,1.47,3.65,2.09,5.02,0.24,5.48,1.33,2.46,5.48,5.23,1.94,3.25,1.03,2.87,3.04,3.66,1.42,3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,2.88,1.41,1.99,0.36,2.23,1.92,2.3,2.35,0.62,1.4,3.66,0.85,1.65,3.31,1.54,1,2.64,1.38,2.19,5.57,1.36,4.27,1.26,2.65,2.12,5.16,3.39,0.99,5.47,0.73,0.23,4.54,2.06,2.21,3.29,2.18,4.42,2.33,2.07,2.65,1.31,1.49,0.8,2.34,2.66,3.35,2.01,3.71,1.44,2.04,0.87,3.8,3.12,3.64,3.82,2.65,2.54,3.13,3.29,6.22,0.18,4.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,2.35,2.31,2.6,2.65,7.25,2.38,1.6,4.74,3.55,1.72,6.24,2.89,4.75,3.15,4.26,1.94,2.51,4.78,4.43,2.38,1.01,1.65,1.34,1.34,6.53,3.29,4.05,3.28,2.31,5.33,4.15,2.03,0.87,6.8,2.16,2.24,4.56,2.97,3.32,3.92,8.39,3.97,1.73,4.02,3.03,5.15,3.63,1.52,0.34,2.11,8.86,0.35,1.51,3.47,4.33,2.66,5.25,1.77,2.04,3.47,3.76,7.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
