"THIRSK - ASHTON HOUSE, SOWERBY",,,,,,,,,,,,,,
Grid ref,SE432809,Long,-1.339,Lat,54.222,Elevation,112,ft,,,,,,
Station no,3426/8,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.32,5.20,0.67,1.50,1.77,1.69,0.56,2.00,1.48,3.74,1.37,1.49,2.25,4.16
February,2.03,0.97,0.76,3.15,2.57,0.42,1.83,2.09,1.74,1.92,1.75,2.75,0.43,1.97
March,4.42,1.17,1.29,1.07,2.77,1.80,0.07,1.79,1.80,0.74,1.25,1.50,1.10,1.19
April,2.54,1.67,2.37,1.65,1.17,1.10,2.14,0.32,1.09,1.43,0.33,0.79,2.24,0.82
May,1.87,0.97,1.19,1.15,3.60,1.65,1.77,2.71,1.68,0.40,1.14,2.38,0.54,0.78
June,2.15,4.51,0.70,1.24,1.32,2.54,3.12,3.15,2.15,3.43,2.11,2.81,1.82,0.47
July,1.20,0.97,2.59,2.87,3.66,1.45,2.46,2.98,1.09,4.93,5.36,2.60,1.45,4.59
August,0.23,3.80,2.35,3.84,5.96,2.05,3.79,5.27,0.97,8.26,4.27,2.24,0.63,3.41
September,1.62,2.18,0.51,2.99,2.47,3.42,1.70,1.75,1.12,2.18,3.16,2.76,0.20,2.72
October,0.49,0.90,2.09,0.98,1.05,3.00,1.97,3.99,1.88,1.19,1.80,1.66,1.40,5.27
November,1.90,0.81,3.26,3.81,5.50,1.41,2.29,3.77,2.35,0.93,1.09,0.81,3.40,4.25
December,1.85,2.63,2.04,2.32,2.35,1.32,1.12,1.73,2.26,2.13,1.80,2.39,3.13,2.65
Total,22.62,25.78,19.82,26.57,34.19,21.85,22.82,31.55,19.61,31.28,25.43,24.18,18.59,32.28
,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/164,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/257,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"# Ashton House is 166 Front Street, Sowerby.",,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
# The station continued until 1974 according to MIDAS. (MIDAS src_id = 2296),,,,,,,,,,,,,,
