LEATHERHEAD-ELMER-SOFTENING-WKS-(FETCHAM-WW),,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ161563,Long,-0.33494,Lat,51.29437,Elevation,102,ft,,,,,,,,,,,,,
Station no,130,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,-999,-999,-999,,1.71,2.53,2.57,3.93,1.79,4.21,1.73,2.84,2.2,2.11,1.13,5.36,5.86,2.67,,
February,,-999,-999,-999,,2.85,3.58,4.21,1.73,0.57,1.12,1.9,0.39,4,0.3,3.52,2.27,4.57,0.64,,
March,,-999,-999,-999,,0.64,0.36,3.17,2.54,0.1,1.65,0.46,1.83,3.26,2.74,0.53,1.58,4.23,0.42,,
April,,,-999,-999,,1.96,3.41,2.4,1.64,0.87,1.75,4.44,2.69,0.55,2.4,3.15,1.77,2.97,0.12,,
May,,,-999,,,1.87,1.59,1.15,2.19,1.86,2.46,2.57,4.45,3.2,0.82,2.01,0.59,2.49,1.75,,
June,,,-999,,,0.49,3.76,3.26,2.73,1.38,0.56,1.52,1.26,1.79,1.18,4.05,3.3,2.07,0.67,,
July,,-999,-999,,,3.38,1.06,,1.72,1.57,2.43,3.28,2.58,1.85,2.02,1.02,4.19,0.98,,,
August,,-999,-999,,,2.4,1.8,4.27,2.27,1.89,3.99,4.63,0.46,0.77,1.95,3.49,3.06,1.33,,,
September,,-999,-999,,,2.56,0.88,4.69,1.01,0.15,3.63,2.34,1.88,2.62,1.56,3.63,2.66,2.29,,,
October,,,-999,,,2.41,2.59,1.49,6.25,3.61,1.11,0.66,5.56,1.83,1.82,3.65,1.9,3.28,,,
November,,,-999,,,2.72,6.42,,2.45,7.24,4.65,3.57,1.2,1.34,2.69,6.59,4.24,1.68,,,
December,,,-999,,,2.13,0.62,4.51,2.68,7.4,2.36,0.53,0.67,0.48,7.32,3.94,3.4,4.41,,,
Total,,,29.26,,,25.12,28.6,,31.14,28.43,29.92,27.63,25.81,23.89,26.91,36.71,34.32,36.16,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1921 bracketed values,,,,,,,,,,,,,,,,,,,,,
Jan-Mar 3.60,,,,,,,,,,,,,,,,,,,,,
July-Sept 2.56,,,,,,,,,,,,,,,,,,,,,
1922 bracketed values,,,,,,,,,,,,,,,,,,,,,
Jan-Mar 8.51,,,,,,,,,,,,,,,,,,,,,
Apr-Dec 20.75,,,,,,,,,,,,,,,,,,,,,
1923 bracketed values,,,,,,,,,,,,,,,,,,,,,
Jan-Apr 8.56,,,,,,,,,,,,,,,,,,,,,
1925 Not pulblished Low,,,,,,,,,,,,,,,,,,,,,
1927 July Nov estimated,,,,,,,,,,,,,,,,,,,,,
1931 Jan 19th New gauge fitted ,,,,,,,,,,,,,,,,,,,,,
1938 June 24th Inspection Exposure bad and gauge over sheltered,,,,,,,,,,,,,,,,,,,,,
1938 July 6th Gauge moved about 3/4m to Elmer Softening wks,,,,,,,,,,,,,,,,,,,,,
