LEATHERHEAD-ELMER-SOFTENING-WKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ160557,Long,-0.337903,Lat,51.288631,Elevation,168,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5.25,2.39,2.24,2.72,6.24,1.95,1.94,2.25,2.02,4.05,1.05,0.8,3.77,2.27,1.14,1.18,2.58,3.77,1.57,2.14,2.49,2.94
February,,,,,,,,,1.43,1.79,2.4,0.44,1.94,1.03,1.72,2.53,1.5,1.52,1.25,4.96,7.24,0.7,1.39,2.2,1.51,0.22,3.66,1.54,0.05,2.29
March,,,,,,,,,1.4,3.47,3.52,1.44,0.4,0.12,1.37,1.21,5.74,1.06,0.9,1.2,3.63,2.23,0.39,2.17,1.22,0.67,0.94,1.54,2.48,1.71
April,,,,,,,,,2.95,2.42,1.84,1.7,1.15,1.89,1.16,2.02,2.19,1.94,1.91,2.66,2.55,1.31,2.43,0.3,0.25,1.4,0.37,1.07,2.27,0.69
May,,,,,,,,,1.72,1.41,1.8,3.67,3.08,1.08,1.61,3.11,1.45,2.37,3.17,1.29,2.4,1.9,1.81,1.87,4.15,0.23,1.5,2.72,0.74,1.97
June,,,,,,,,,1.43,0.51,2.74,0.38,1.81,1.88,2.18,2.46,2.96,2.8,0.86,1.15,0.92,1.43,1.68,4.36,2.29,2.21,1.25,3.62,0.52,1.53
July,,,,,,,,,2.57,2.18,3.69,2.18,1.65,2.01,4.24,1.65,2.56,1.41,0.7,3.59,2.12,0.71,3.17,2.81,1.75,5.03,3.41,1.62,1.86,2.55
August,,,,,,,,2.38,1.34,0.03,3.77,2.99,1.41,2.85,1.56,5.35,0.51,4.05,2.14,2.66,3.62,3.91,1.49,3.16,1.12,3.05,3.52,2.98,1.33,2.77
September,,,,,,,,2.15,1.23,1.49,0.49,1.7,2.14,2.27,2.49,3.59,1.25,1.55,0.5,2.73,3.28,2.68,3.11,1.91,1.57,2.06,2.73,4.77,0.15,2.39
October,,,,,,,,2.74,5.62,3.07,1.19,3.29,3.83,4.27,3.71,1.29,0.25,1.93,6.79,0.53,0.82,3.18,3.6,2.33,3.4,1.45,1.63,2.9,2.75,6.3
November,,,,,,,,4.37,4.88,7.76,3.18,2.01,1.69,4.44,0.38,4.77,1.06,1.66,3.14,6.05,7.88,3.17,1.46,5.48,1.07,0.74,2.92,1.89,3.76,4.58
December,,,,,,,,3.79,1.53,1.55,1.93,3.36,2.35,2.76,4.13,3.32,3.3,4.42,1.32,2.04,2.79,2.18,0.55,2.17,2.59,3.73,2.17,3.01,5.11,2.96
Total,,,,,,,,,31.35,28.07,28.79,25.88,27.69,26.55,26.49,33.55,24.79,28.76,23.73,29.66,41.02,25.67,22.22,29.94,23.5,24.56,25.67,29.8,23.51,32.68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 July 6th Gauge moved about 3/4m from Fetcham WW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 Total appears 2in too high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 June 25th Inspection Gauge fractured at splayed base Can broken at bottom It is thought that this would not affect readings Measure approved Site reasonable ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autographic site 60ft E and over exposed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
