THIRLMERE (RED BROW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY319129,Long,-3.053225,Lat,54.506818,Elevation,621,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3630/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,14.42,15.19,14.7,1.78,4.03,7.61,14.7,15.84,7.01,14.11,10.72,16.15,7.86,7.57,10.71,9.26,5.39,8.21,8.55,6.87,15.47,11.68,7.11,14.89
February,,,,,,,10.28,5.86,14.93,3.69,9.53,3,8.18,4.12,11.27,7.06,1.9,9.56,9.42,13.85,10.58,2.24,4,7.29,3.58,1.83,10.24,11.1,2.57,12.65
March,,,,,,,4.92,7.15,8.12,11.28,4.78,7.53,3.62,1.11,6.02,5.65,9.76,7.85,3.82,6.64,9.07,6.73,1.64,7.53,2.7,4.16,7.75,2.07,7.99,2.93
April,,,,,,,5.21,1.25,4.03,5.06,3.71,5.98,5.84,5.76,4.82,2.43,11.46,5.49,10.52,7.95,7.2,5.91,6.82,2.26,4.17,1.88,2.16,3.94,8.05,7.54
May,,,,,,,3.39,8.1,1.6,2.76,6.37,8.39,8.52,3.66,6.41,1.66,4.61,3.69,4.36,2.87,4.25,4.43,4.83,7.75,7.89,4.71,4.71,8.07,1.91,3.75
June,,,,,,,4.98,14.9,7.25,1.46,0.52,1.33,6.36,7.06,7.15,8.38,6.31,12.95,1.93,3.61,2.44,4.38,6.86,8.63,6.19,4.8,2.72,5.83,6.02,6.93
July,,,,,,,5.67,13.58,13.92,9.38,2.88,6.7,6.04,4.58,6.61,6.88,5.27,6.59,2.56,7.26,5.44,5.92,13.04,7.7,5.34,8.2,7.23,5.68,9.51,8.88
August,,,,,,,4.73,6.28,4.06,3.97,12.96,11.36,13.92,6.86,2.68,10.76,0.08,11.15,5.52,14.38,10.83,11.53,10.42,8.29,4.29,14.09,10.02,7.27,1.62,5.47
September,,,,,,,9.91,7.1,2.63,8.27,2.51,10.95,11.61,9.35,9.24,16.25,8.81,11.68,3.16,21.69,14.75,9.42,15.18,18.35,7.48,6.76,10.09,11.33,1.41,6.39
October,,,,,,,5.61,24.74,5.33,10.89,10.41,13.03,13.58,9.03,12.39,1,3.19,8.78,13.1,8.49,1.87,9.93,5.29,21.05,7.19,7.92,12.2,9.95,13.29,6.27
November,,,,,,,3.06,18.53,18.67,12.52,8.34,2.71,7.33,15.39,0.88,18.05,16.77,9.29,16.85,9.75,21.36,5.73,17.72,21.59,4.76,4.34,4.23,2.67,14.43,18.82
December,,,,,,,6.59,7.86,6.08,11.45,7.4,16.71,5.23,10.27,6.99,11.21,5.38,13.44,16.97,5.32,19.21,9.26,6.74,14.48,13.56,14.49,11.7,8.94,20.35,11.49
Total,,,,,,,78.77,130.54,101.32,82.51,73.44,95.3,104.93,93.03,81.47,103.44,84.26,116.62,96.07,109.38,117.71,84.74,97.93,133.13,75.7,80.05,98.52,88.53,94.26,106.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12821,THIRLMERE: NOOK ,01/01/1937,01/04/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
