"THIRLMERE THE NOOK",,,,,,,,,,,,
Grid ref,NY319129,Long,-3.053225,Lat,54.506818,,,,,,,
Station no,3630/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,10.71,9.26,5.39,8.21,8.55,6.87,15.47,11.68,7.11,14.89,,
February,10.58,2.24,4.00,7.29,3.58,1.83,10.24,11.10,2.57,12.65,,
March,9.07,6.73,1.64,7.53,2.70,4.16,7.75,2.07,7.99,2.93,,
April,7.20,5.91,6.82,2.26,4.17,1.88,2.16,3.94,8.05,7.54,,
May,4.25,4.43,4.83,7.75,7.89,4.71,4.71,8.07,1.91,3.75,,
June,2.44,4.38,6.86,8.63,6.19,4.80,2.72,5.83,6.02,6.93,,
July,5.44,5.92,13.04,7.70,5.34,8.20,7.23,5.68,9.51,8.88,,
August,10.83,11.53,10.42,8.29,4.29,14.09,10.02,7.27,1.62,5.47,,
September,14.75,9.42,15.18,18.35,7.48,6.76,10.09,11.33,1.41,6.39,,
October,1.87,9.93,5.29,21.05,7.19,7.92,12.20,9.95,13.29,6.27,,
November,21.36,5.73,17.72,21.59,4.76,4.34,4.23,2.67,14.43,18.82,,
December,19.21,9.26,6.74,14.48,13.56,14.49,11.70,8.94,20.35,11.49,,
Total,117.71,84.74,97.93,133.13,75.70,80.05,98.52,88.53,94.26,106.01,,
Calc annual,117.71,84.74,97.93,133.13,75.70,80.05,98.52,88.53,94.26,106.01,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
