"HENNOCK (HAZELWOOD)",,,,,,,,,,,,
Grid ref,SX830805,Long,-3.655008,Lat,50.612444,,,,,,,
Station no,1737,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.63,4.56,0.68,2.19,6.25,4.16,4.34,4.82,6.80,5.30,,
February,6.12,0.64,1.74,4.80,3.99,0.33,7.64,5.00,0.35,6.28,,
March,4.50,3.47,0.77,3.84,2.19,1.70,5.02,2.39,5.06,3.27,,
April,2.22,3.99,3.01,0.10,1.29,0.75,0.23,0.73,4.21,1.32,,
May,2.92,2.59,2.75,2.73,4.28,0.75,2.46,3.93,1.50,2.16,,
June,1.11,0.72,2.57,3.35,2.77,1.65,2.42,3.64,1.65,1.48,,
July,2.25,1.02,2.12,2.38,3.92,5.04,3.94,3.02,2.14,3.71,,
August,4.42,5.47,2.00,3.04,0.75,3.44,2.86,4.19,4.14,3.98,,
September,4.91,3.20,4.57,3.57,1.70,7.36,3.19,4.75,0.22,8.13,,
October,1.25,6.88,4.20,3.20,2.53,2.99,2.32,3.50,3.98,10.37,,
November,6.59,6.29,2.60,9.23,4.85,1.64,2.44,2.13,8.82,5.99,,
December,3.93,3.21,0.85,4.05,6.74,6.70,3.43,5.19,9.60,4.78,,
Total,45.85,42.04,27.86,42.48,41.26,36.51,40.29,43.29,48.47,56.77,,
Calc annual,45.85,42.04,27.86,42.48,41.26,36.51,40.29,43.29,48.47,56.77,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
