"DULVERTON C E SCHOOL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2111,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,7.62,2.32,7.35,
February,,,,,,,,,5.02,1.80,2.07,
March,,,,,,,,,4.72,0.36,5.43,
April,,,,,,,,,2.03,0.79,3.88,
May,,,,,,,,,1.10,2.76,2.79,
June,,,,,,,,,3.27,2.91,0.90,
July,,,,,,,,4.71,3.26,1.94,3.54,
August,,,,,,,,6.17,3.53,2.89,4.82,
September,,,,,,,,9.42,1.40,1.06,9.21,
October,,,,,,,,3.78,5.39,8.02,6.63,
November,,,,,,,,5.08,6.23,12.09,6.99,
December,,,,,,,,,5.20,14.89,5.18,
Total,,,,,,,,,48.77,51.83,58.79,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.16,48.77,51.83,58.79,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,
