KIRKANDREWS-ON-ESK RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,NY380715,Long,-2.9715719,Lat,55.034136,Elevation,100,ft,,,,,,,,,,,,
Station no,RR6253,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,3.24,6.34,1.72,6.54,4.37,1.8,1.24,0.98,2.45,4.22,5.9,2.75,3.65,,,
February,,,,,2.88,1.21,5.21,3.44,3.31,3.22,2.56,2.2,3.14,1.48,2.52,2.47,1.72,,,
March,,,,,3.01,1.17,3.82,2.75,1.77,2.4,2.18,4.11,3.31,1.64,2.68,2.46,3.2,,,
April,,,,,1.95,0.95,2.53,2.62,2.19,1.42,2.73,1.2,3.84,1.82,1.58,2.05,1.67,,,
May,,,,,1.66,3.77,0.83,2.04,3.77,2.45,1.58,3.33,1.78,1.38,3.61,2.78,3.33,,,
June,,,,,1.14,4.17,3.07,3.52,2.88,5.04,2.77,5.71,4.3,3.65,1,1.04,1.52,,,
July,,,,,3.1,3,2.51,5.14,0.78,5.07,6.03,3.18,7.15,2.54,6.16,2.59,5.3,,,
August,,,,,6.84,3.32,2.72,7.75,3.94,4.44,0.79,4.8,3.31,4.75,1.44,3.48,2.7,,,
September,,,,,4.42,5.61,4.02,2.82,4.52,4.9,4.51,2.8,2.34,4.93,2.76,5.46,4.45,,,
October,,,,,6.34,3.68,3.35,7.29,2.81,1.78,1.16,2.57,3.81,3,1.91,1.97,4.56,,,
November,,,,,4.15,6.19,2.57,6.57,1.54,1.37,5.2,3.46,5.02,3.84,1.55,2.26,3.04,,,
December,,,,,3.31,2.02,6.13,3.82,1.63,1.87,3.17,3.33,3.35,2.94,4.25,1.74,,,,
Total,,,,,42.04,41.43,38.48,54.3,33.51,35.76,33.92,37.67,43.8,36.19,35.36,31.05,,,,
,,,,,,,,,,,,,,,,,,,,
"1886 Dec, gauge broken by frost so estimated; removed along with total",,,,,,,,,,,,,,,,,,,,
