RAWTENSTALL CEMETERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD813233,Long,-2.284756,Lat,53.705789,Elevation,572,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,
January,,,,,,,8.83,3.43,2.88,2.9,8.37,4.16,5.45,1.82,6.04,5.03,2.78,2.53,4.14,8.64,8.38,3.77,4.52,5.4,5.77,2.79,7.84,2.63,4.81,3.83,6.65,2.87,5.88,5.58,2.45,10.48,1.91,1.89,4.26,5.18,5.8,8.72,4.8,5.04,4.8,3.97,7.16,5.9,13.02,2,7.94,7.07,7.4,3.43,4.53,2.28,5.99,5.31,6.14,6.51,2.29,1.56,7.74,8.93,7.07,4.45,5.29,4.62,10.83,3.11,3.66,5.4,6.8,2.01,5.08,3.44,6.35,4.8,6.4,3.77,,,,,,,,,,,,,,,,,,,,
February,,,,,,,1,1.8,1.78,3.53,0.82,0.43,4.19,7.59,7.36,0.53,2.41,4.19,4.48,2.48,4.93,2.16,2.11,5.31,5.51,3.58,5.7,3.23,4.54,3.73,7.07,6.3,2.53,2.28,4.26,7.95,3.78,0.41,7.61,0.66,4.71,0.55,6.15,8.57,1.09,8.92,5.03,2.21,6.81,1.25,0.78,6.96,0.4,5.67,0.5,7.94,2.87,6.76,2.34,5.19,2.56,6.97,1.8,3.64,2.59,5.92,6.55,1.36,3.58,4.13,6.79,4.48,1.86,2.07,4.55,2.8,1.34,4.08,7.72,0.64,,,,,,,,,,,,,,,,,,,,
March,,,,,,,5.29,2.71,4.69,4.15,5.62,3.08,1.49,2.64,5.32,5.47,8.38,7.31,3.76,3.66,0.9,5.44,2.77,7.75,3.2,4.48,4.42,4.54,3.97,3.31,1.51,2.57,7.53,6.65,5.46,2.2,1.19,2.2,2.03,7.18,4.98,4.38,4.02,2.09,1.87,1.49,2.65,4.83,3.95,1.51,3.4,0.34,3.63,2.84,3.76,1.58,3.18,2.36,2.03,3.55,3.25,4.26,3.99,1.52,1.04,1.66,1.46,6.93,2.3,2.31,2.88,4.98,2.66,2.73,4.23,2.72,1.97,5.01,2.47,2.53,,,,,,,,,,,,,,,,,,,,
April,,,,,,,3.63,2.36,2.46,2.36,1.75,2.94,1.85,0.78,2.13,2.72,2.49,4.5,3.01,5.58,3.71,3.42,3.28,2.47,4.04,3.94,2.08,2.31,3.3,4.49,4.32,3.23,1.15,6.71,2.13,1.37,2.48,0.6,1.38,2.99,5.99,2.03,3.14,4.45,2.06,3.19,2.59,4.56,1.39,1.65,3.08,3.75,4.08,2.14,3.02,4.27,1.22,3.82,1.01,2.51,3.85,2.25,2.85,2.97,3.43,2.9,1.5,5.21,2.7,4.73,3.78,2.99,4.35,4.48,0.88,3.16,2.99,0.59,1.78,3.9,,,,,,,,,,,,,,,,,,,,
May,,,,,,,5.28,2.81,1.47,2.67,3.54,5.1,5.02,2.52,3.79,1.46,0.85,2.34,3.46,3.47,2.22,1.23,3.53,4.6,2.54,1.43,5.02,4.07,3.35,2.86,3.8,3.54,2.48,4.99,2.26,1.65,1.78,2,2.89,1.86,7.26,3.03,1.8,4.48,6.19,4.56,3.44,1.78,1.1,3.7,1.75,2.86,3.76,3.26,4.54,1.44,0.95,1.82,4.53,1.88,1,2.74,4.31,3.91,3.44,4.33,1.23,2.42,2.01,3.12,2.41,1.91,3.16,2.8,3.92,5.18,1.93,2.5,5.59,1.91,,,,,,,,,,,,,,,,,,,,
June,,,,,,,3.12,0.77,2.24,1.6,4.63,2.09,4.21,3.43,3.37,3.1,3.38,4.23,3.37,1.14,3.19,2.22,1.47,1.82,2.03,3.29,1.92,9.21,1.9,3.11,2.78,3.53,7.16,1.83,2.19,1.23,1.79,2.6,1.99,1.77,3,0.3,2.99,1.2,3.7,0,2.92,5.03,6.06,1.81,1.81,6.63,1.15,2.44,2.98,4.21,4.4,2.55,5,3.84,0.82,0.67,1.24,4.24,3.03,6.15,3.56,3,6.8,0.59,2.58,1.12,4.26,3.61,3.52,3.54,3.8,2.39,4.36,4.51,,,,,,,,,,,,,,,,,,,,
July,,,,,,,4.25,2.31,7.54,4.12,4.27,3.76,3.02,5.7,6.86,5.25,3.48,2.02,1.23,2.59,2.45,1.66,3.83,4.26,2.54,3.02,2.62,3.55,5.45,6.78,5.56,0.96,4.26,0.68,5.2,4.86,3.41,1.84,4.97,1.7,7.53,2.66,5.6,4.73,5.02,2.53,2.77,4.53,2.33,3.41,6.21,4.8,6.02,4.06,2.72,2.15,4.55,2.17,5.55,7.65,4.48,3,6.08,3.12,3.21,4.15,4.71,4.89,2.77,2.12,4.08,4.34,2.24,6.49,5.83,1.24,5.81,6.84,3.59,4.3,,,,,,,,,,,,,,,,,,,,
August,,,,,,,2.45,1.95,4.72,7.11,6.55,10.7,6.39,4.43,5.65,5.52,3.78,7.62,6.07,1.28,5.3,2.74,3.36,6.27,4.86,5.42,4.89,4.89,4.18,4.12,7.41,3.12,9.14,2.03,3.95,3.75,3.56,5.81,3.67,4.77,3.68,7.09,5.56,4.96,7.49,4.98,5.59,7.54,6.61,5.11,8.25,6.78,1.05,2.98,4.86,1.3,2.66,2.47,4.06,3.35,2.97,7.25,6.04,7.18,3.45,2.99,7.29,0.22,5.06,3.75,6.21,5.5,6.44,6.19,7.37,2.21,11.5,5.73,4.61,0.86,,,,,,,,,,,,,,,,,,,,
September,,,,,,,4.9,6.61,1.86,4.87,3.11,4.59,4.97,6.56,0.36,1.79,11.7,5.2,1.54,9.48,2.95,1.47,1.76,5.35,1.81,3.04,1.63,0.98,5.2,3.34,0.62,4.36,2.43,2.07,3.59,1.1,2.67,2.64,14.88,2.51,1.31,1.12,3.47,5.47,6.02,4.04,4.12,6.99,0.77,2.11,4.82,4.17,4.63,1.56,4.52,8.39,4.85,1.7,2.44,1.39,5.33,1.08,3.02,5.18,6.35,2.83,8.08,3.75,4.17,1.72,6.62,3.76,4.73,5.46,6.85,4.76,3.98,7.31,5,0.39,,,,,,,,,,,,,,,,,,,,
October,,,,,,,5.95,2.8,2.88,5.14,5.17,6.34,7.16,5.62,5.81,6.27,7.22,2.65,5.6,3.85,7.02,4.92,5.12,12.07,3.3,4.58,7.69,4.55,2.06,7.61,3.03,4.55,6.2,2.84,2.59,2.05,6.72,6.08,4.91,3,2.42,3.07,0.77,7.14,5.12,5.76,5.3,6.19,5.39,7.52,7.42,3.29,8.59,5.3,7.01,10.06,6.12,2.42,12.51,2.6,5.42,5.08,7.91,3.61,6.19,5.44,1.44,1.1,2.96,5.54,2.47,1.02,6.2,2.63,9.79,3.31,3.94,6.85,4.6,5.85,,,,,,,,,,,,,,,,,,,,
