BLACKSTONE EDGE CANAL SUMMIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD947187,Long,-2.081685,Lat,53.664755,Elevation,700,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924
January,,,,,,,3.1,3.8,2.1,2.6,3.4,1,5.3,4.5,3.9,4.7,2.1,6.4,4.4,1.3,0.9,0.4,4.7,5.4,5.6,2.7,6.1,1.3,1.4,2,4.4,3.2,3.2,0.7,3,3.6,1.8,1.4,3,5.5,5.4,2.2,3.3,3.3,3.3,1.3,4.4,1.66,3.46,2.1,5.89,1.48,-999,3.22,2.7,6.25,3.65,-999,2.63,-999,4.1,5.77,3.2,,
February,,,,,,,4.6,4.5,3.8,4.9,1.3,3.3,3.6,0.6,1.6,1.4,4.9,4.9,1.8,3.6,2.7,5.7,2.8,2.1,4.1,3.6,0.7,1,0.6,2.4,0.7,0.2,2.8,4.3,5,0.2,1,3.3,3,1,3.6,0.9,1.3,2.8,3.1,1.4,2.5,1.85,2.32,1.58,1.51,3.28,-999,1.25,2.75,4.06,-999,-999,5.66,-999,3.29,0.6,4.22,,
March,,,,,,,2.1,1.7,4.7,2.1,2.5,1.1,3.3,2.7,4.2,0.8,4.7,3.9,2.3,2,3.1,5,4.4,0.7,1.8,2.2,2.7,1.9,3.1,2.3,3.1,2,0.9,1.2,3.3,3.4,5.4,4.1,2.4,1.5,0.9,2.9,1.5,5.1,1.8,3,3.2,3.35,2.79,2.78,0.69,1.69,4.92,3.98,4.13,-999,-999,-999,1.36,-999,2.76,2.87,2.57,,
April,,,,,,,1.6,5,1.4,2.2,1.4,3.5,4.1,0.3,1.4,1.1,2.9,2.3,1.6,2.3,2.7,1.2,4.8,2,1.7,2.3,3.3,1.2,2.4,2.8,1.1,2.1,1.2,0.6,1.7,2.2,1.5,2.9,2.1,3.4,2,2.2,1.9,1.3,2.4,2.2,1.3,2.08,2.27,3.73,3.44,2.02,0.94,4.02,1.12,-999,2.68,-999,1.31,1.54,5.79,1.3,3.45,,
May,,,,,,,1.6,2,1.1,5.3,1.2,1.5,2.4,2.5,1.6,2.2,0.8,3.4,4.8,1.7,2.2,4.4,1.8,0.9,1.7,2.2,5.2,1.4,0.4,2.1,2.7,3.1,3.5,2.2,2.1,0.5,0.4,1.3,3,2.6,1.6,1.6,2.5,3.6,1.6,0.5,1.9,3.48,2.46,1.98,2.36,1.24,2.91,3.05,2,3.76,2.53,1.8,1.95,1.81,4.72,2.14,1.05,,
June,,,,,,,5.3,3.2,0.9,0.9,2,3.7,6.2,1.6,1.2,3.7,3.2,1.9,2.7,5.7,3.2,1.6,6.3,4.3,0.9,4.6,2,0.7,2.2,0.6,3,1.2,3.6,1.9,2.5,3.6,2.2,3.7,2.7,1.3,3.6,1.5,1.3,1.2,1.6,2,2.2,6.98,2.08,2.52,3.34,2.48,5.82,2.82,2.53,0.52,2.46,2.48,1,1.53,1.92,0.1,2.87,,
July,,,,,,,4.1,5.3,0.3,0.6,0.6,4.3,3.8,4.4,1.9,5.9,2.9,4.3,0.4,5.7,5.1,3,4.3,2.1,4.2,1.2,4.3,1.4,5.4,3.5,2.5,2.5,2.5,2.6,2.6,4.9,2.8,1.8,0.7,2.3,2.4,1.7,2.2,4.4,1.3,2.6,1.9,2.64,3.89,5.32,3.3,0.78,2.25,0.89,3.41,4.5,1.86,1.81,4.89,1.68,8.82,1.74,4.36,,
August,,,,,,,4.6,2,3.6,2.1,1.8,1.1,3.5,4.2,5.4,3.2,4.3,4,5.6,4.8,2.1,5.5,3.3,2.2,1.7,1.1,1.4,0.7,3.6,5.7,4.5,6,4,2.4,3.7,3.9,1.9,2.8,5,1.4,5.6,2,2.8,4.3,4.7,5.6,3.9,3.42,3.46,3.03,4.69,2.05,7.21,1.95,2.94,4.39,2.73,6.59,2.73,3.42,1.61,5.85,5.79,,
September,,,,,,,7.7,2.9,2.6,6,2.7,4.7,6.6,2.8,3.5,5.2,4.4,4.3,4.7,2.5,4,1.9,1.5,6,1.7,6,4,5,1.2,1.8,0.9,3.1,3.1,3.4,0.3,1.7,7,3.4,0.5,7.1,1.4,0.9,2,5.3,0.8,1.7,0.8,0.97,3.44,2.75,0.29,3.42,2.3,1.46,3.08,1.17,2.11,1.98,13.11,1.23,1.92,1.6,3,,
October,,,,,,,3.9,3.6,4.8,3.4,9.8,4.5,5.8,5.8,4.8,5.2,3.4,6,3.9,2.9,6.4,3.6,3.3,5.3,2.3,8.3,4.9,2.6,1.4,4.1,3.4,4.2,6.7,3.4,4.2,3.9,4.1,2.3,4.7,3.1,5.2,2.7,4.3,8.1,1.4,2.6,6.4,4.94,2.27,4.59,2.75,2.95,4.92,2.06,2.47,1.46,6.17,6.87,3.02,3.01,1.69,2.77,1.09,,
