"HUTTON-LE-HOLE",,,,,,,,,,,,
Grid ref,SE705900,Long,-0.918168,Lat,54.300755,,,,,,,
Station no,3464/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.27,3.03,1.22,2.10,2.51,6.52,2.52,3.18,3.26,5.88,,
February,2.67,1.07,3.64,3.00,3.56,3.30,3.25,5.04,0.54,3.51,,
March,3.91,2.87,0.17,2.62,2.49,1.29,1.91,3.62,2.03,1.32,,
April,1.99,1.70,3.28,0.26,1.00,1.08,0.88,1.68,3.30,0.94,,
May,3.10,1.75,2.09,3.22,2.95,0.79,1.66,3.32,0.70,1.79,,
June,1.63,1.98,2.92,2.59,2.07,5.02,2.26,3.38,1.83,0.53,,
July,1.49,1.55,3.15,2.79,1.57,4.15,3.84,2.87,2.57,5.44,,
August,5.65,2.73,3.35,6.19,0.91,7.48,4.36,2.85,0.32,2.89,,
September,1.60,4.21,1.71,2.86,1.70,2.81,4.07,2.66,0.39,3.13,,
October,1.73,3.96,2.06,5.06,2.02,2.32,3.24,2.18,2.08,8.95,,
November,6.10,4.36,2.51,5.55,2.73,2.13,2.55,1.24,4.18,4.47,,
December,3.59,3.15,1.60,2.48,4.45,2.85,2.58,3.63,4.89,3.88,,
Total,35.73,32.36,27.70,38.72,27.96,39.74,33.12,35.65,26.09,42.73,,
Calc annual,35.73,32.36,27.70,38.72,27.96,39.74,33.12,35.65,26.09,42.73,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
