HUTTON-LE-HOLE,,,,,,,,
Grid ref,SE704900,Long,-0.920,Lat,54.301,Elevation,350,ft
Station no,3464/2,,,,,,,
,,,,,,,,
,1917,1918,1919,1920,1921,1922,1923,
January,,2.70,4.22,2.85,2.95,3.08,1.76,
February,,2.50,1.68,0.65,0.21,2.59,4.19,
March,,1.95,3.79,1.91,1.00,1.95,2.22,
April,,1.65,1.42,3.29,0.90,2.42,1.50,
May,,2.90,0.96,2.37,2.00,0.84,1.99,
June,,0.88,1.10,0.88,0.28,2.17,0.71,
July,2.15,4.30,2.31,5.25,1.33,4.18,2.45,
August,7.02,2.24,3.05,2.43,4.64,3.90,4.25,
September,1.14,5.72,0.88,1.71,1.23,2.29,2.58,
October,3.15,1.74,3.72,2.19,1.39,1.33,3.88,
November,2.19,1.42,3.11,1.18,1.63,1.36,4.09,
December,2.23,5.12,3.82,3.22,2.04,3.69,3.86,
Total,,33.12,30.06,27.93,19.60,29.80,33.48,
,,,,,,,,
TYRain_1910-1919_21_pt1/029,,,,,,,,
TYRain_1920-1930_24_pt1/011,,,,,,,,
,,,,,,,,
# Exact location not determined. Grid reference is central Hutton-le-Hole.,,,,,,,,
