LOUND-RECTORY (LOUND SCHOOL),,,,,,,,,,,,,,,,,,,,,
Grid ref,TM505989,Long,1.6918329,Lat,52.530317,Elevation,40,ft,,,,,,,,,,,,,
Station no,1381,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,1.99,2.74,1.41,1.77,2.12,,,,,,,,,
February,,,,,,,,1.55,0.79,0.53,1.17,3.49,,,,,,,,,
March,,,,,,,,1.68,0.36,0.1,0.43,0.69,,,,,,,,,
April,,,,,,,,2.08,0.9,1.07,0.91,2.84,,,,,,,,,
May,,,,,,,1.56,0.76,,0.88,2.42,1.29,,,,,,,,,
June,,,,,,,2.93,4.07,0.55,0.55,0.17,0.83,,,,,,,,,
July,,,,,,,2.22,1.08,1.37,2.87,2.88,4.06,,1.16,,,,,,,
August,,,,,,,2,3.06,0.89,1.25,2.5,,,,,,,,,,
September,,,,,,,0.73,6.09,3.2,0.44,5.22,,,3.99,,,,,,,
October,,,,,,,2.82,2.49,1.38,2.02,1.45,,,,,,,,,,
November,,,,,,,2.72,0.92,2.73,2.99,3.74,1.48,1.35,2.6,,,,,,,
December,,,,,,,1.21,1.58,0.8,3.96,1.22,0.44,0.65,0.76,,,,,,,
Total,,,,,,,,27.35,,18.07,23.88,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1926 Apr Gauge moved,,,,,,,,,,,,,,,,,,,,,
1932 Mar Apr estimated,,,,,,,,,,,,,,,,,,,,,
