"BLYTH BRIDGE (BLYTHBANK)",,,,,,,,,,,,
Grid ref,NT141463,Long,-3.368404,Lat,55.702512,,,,,,,
Station no,5076/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,4.02,3.07,1.62,3.69,,
February,,,,,,,3.11,2.85,1.14,3.00,,
March,,,,,,,2.58,1.64,1.13,1.71,,
April,,,,,,,1.67,2.11,2.56,2.10,,
May,,,,,,,1.96,2.34,1.68,1.25,,
June,,,,,,,1.72,2.54,3.02,1.28,,
July,,,,,,,3.98,6.26,2.64,2.27,,
August,,,,,,6.03,4.66,3.81,0.83,3.86,,
September,,,,,,2.51,2.29,3.96,0.78,1.87,,
October,,,,,,2.87,3.18,2.04,3.43,2.09,,
November,,,,,,1.32,1.75,1.37,6.08,3.63,,
December,,,,,,4.09,4.72,4.87,3.49,4.06,,
Total,,,,,,,35.64,36.86,28.40,30.81,,
Calc annual,0.00,0.00,0.00,0.00,0.00,16.82,35.64,36.86,28.40,30.81,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
