"CUPAR (STRATHEDEN HOSPITAL)",,,,,,,,,,,,
Grid ref,NO348130,Long,-3.055308,Lat,56.304918,,,,,,,
Station no,5493,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.56,1.55,0.56,1.67,,,,,,,,
February,3.27,0.62,0.68,,,,,,,,,
March,3.12,2.43,0.57,,,,,,,,,
April,2.18,1.15,2.51,,,,,,,,,
May,2.17,2.12,1.91,,,,,,,,,
June,1.67,2.44,1.25,,,,,,,,,
July,5.28,1.80,,,,,,,,,,
August,3.87,3.17,,,,,,,,,,
September,2.01,1.47,,,,,,,,,,
October,0.27,3.38,,,,,,,,,,
November,6.10,2.30,,,,,,,,,,
December,2.32,2.18,,,,,,,,,,
Total,35.82,24.61,,,,,,,,,,
Calc annual,35.82,24.61,7.48,1.67,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
