DARTMOUTH-NAVAL-COLLEGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX874518,Long,-3.58413,Lat,50.35585,Elevation,220,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,8.22,4.78,6.53,3.71,5.3,0.38,8.47,7.99,6.45,8.05,3.45,5.75,6.15,,,,,,,,
February,,,,,,,,,,,1.86,3.46,0,5.19,0.17,5.35,4.2,9.15,1.71,2.72,5.3,5.9,0.42,,,,,,,,
March,,,,,,,,,,,2.89,3.23,3.13,4.75,4.62,1.99,5.87,6.18,0.2,1.44,4.39,3.81,3.73,,,,,,,,
April,,,,,,,,,,,3.02,3.65,4.16,2.34,3.98,4.85,3.34,4.1,0.13,2.68,4.63,1.54,2.61,,,,,,,,
May,,,,,,,,,,,2.57,3.05,4.2,1.51,1.26,3.32,1.26,3.39,2.97,0.67,1.93,2.61,6.92,,,,,,,,
June,,,,,,,,,,,0.64,4.07,4.21,2.36,2.09,6.41,1.51,1.54,1.04,4.21,0.65,3.28,0.35,,,,,,,,
July,,,,,,,,,,,2.99,5.93,2.46,3.16,0.47,0.4,6.6,2.45,4.53,7.3,2.17,1.91,1.99,,,,,,,,
August,,,,,,,,,,,4.79,4.47,1.77,1.25,2.83,3.06,0.5,1.57,5.62,3.27,0.09,4.1,5.17,,,,,,,,
September,,,,,,,,,,,3.51,1.64,6.91,3.31,4.26,5.56,3.06,2.58,2.51,1.23,1.67,1.14,3.14,,,,,,,,
October,,,,,,,,,,,3.53,0.6,9.11,2.21,3.12,5.03,1.65,3.39,6.01,6.61,4.64,1.92,5.38,,,,,,,,
November,,,,,,,,,,,8.94,8.31,3.27,2.19,2.94,7,5.61,3.43,8.67,10.57,10.66,3.09,1.36,,,,,,,,
December,,,,,,,,,,,5.31,1.85,4.02,3.21,14.38,6.64,5.85,4.75,4.54,3.35,5.89,4.56,6.05,,,,,,,,
Total,,,,,,,,,,,48.27,45.04,49.77,35.19,45.42,49.99,47.92,50.52,44.38,52.1,45.47,39.61,43.27,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Sept College bombed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 College moved to Eaton Hall Cheshire until 1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
