SHEFFIELD-GLEADLESS-HANDSWORTH-WW,,,,,,,,,,,,,,,,,,,,
Grid ref,SK377844,Long,-1.4350573,Lat,53.355145,Elevation,700,ft.,,,,,,,,,,,,
Station no,RR8058,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,1.75,3.14,3.46,1.49,4.33,1.23,1.86,1.65,2.39,,,,,,,,,
February,,,2.35,2.03,5.32,1.39,3.25,3,2.34,0.87,4,,,,,,,,,
March,,,1.79,3.31,2.41,3.67,2.01,2.2,3.42,5.14,0.8,,,,,,,,,
April,,,2.96,2.08,2.41,2.94,0.47,2.23,2.55,1.62,2.35,,,,,,,,,
May,,,3.49,4.33,3.03,0.64,2.29,4.51,2.74,2.04,2.84,,,,,,,,,
June,,,1.81,2.04,0.62,3.91,2.46,4.35,1.89,3.38,3.6,,,,,,,,,
July,,,2.29,2.49,2.98,2.16,1.73,2.29,2.5,3.87,2.22,,,,,,,,,
August,,,5.11,5.36,4.04,4.58,2.32,2.46,3.24,2.9,4.38,,,,,,,,,
September,,,1.88,4.27,1.5,1.5,1.17,0.65,1.93,2.72,0.44,,,,,,,,,
October,,,3.45,6.76,1.03,2.11,6.79,6.17,1.52,3.16,,,,,,,,,,
November,,4.16,2.64,1.87,2.2,4.58,4.12,3.14,1.56,0.79,,,,,,,,,,
December,,4.23,2.58,1.98,2.26,0.99,2.95,2.55,2.41,6.14,,,,,,,,,,
Total,,,32.1,39.66,31.26,29.96,33.89,34.78,27.96,34.28,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Handsworth Water Works. Altitudes match,,,,,,,,,,,,,,,,,,,,
