MANCHESTER CHARLTON ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ846967,Long,-2.2334435,Lat,53.466811,Elevation,124,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no ,RR210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January ,1.5,2.11,1.5,1.5,0.95,1.15,3.53,1.28,5.52,4.16,1.56,1.32,2.25,1.89,2,2.33,0.75,3.69,3.31,0.61,0.93,0.43,1.24,0.32,5.64,4.25,3.96,2.83,0.32,2.31,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February ,2.5,3.12,3.76,2.5,1.25,2.98,1.83,4.36,3.46,4.23,1.63,0.86,3.6,4.27,0.97,1.95,3.19,1.09,2.11,1.57,3.44,2.61,0.8,3.26,2.77,3.09,2.61,3.31,1.33,2.26,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March ,2,3.57,4.58,1.15,1.44,4.13,2.83,2.19,5.03,1.41,1.43,3.15,5.51,3.04,3.45,1.26,1.28,6.03,2.2,0.18,1.33,3.67,2.31,1.48,2.82,3.27,4.24,1.73,1.98,3.46,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April ,1.37,1.74,1.27,1.82,2.86,0.94,2.32,0.17,3.15,2.32,3.28,3.98,1.51,2.3,2.15,2.01,2.09,1.37,3.53,3.11,4.29,1.69,2.28,3.43,1.57,1.3,2.83,1.4,3.22,0.82,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May ,0.95,5.13,3.02,5.57,0.3,3.97,3.54,2.7,1.19,1.22,5.81,3.19,2.73,2.93,1.58,5.11,0.39,1.85,1.17,1.21,2.91,0.97,2.99,0.34,1.08,2.52,0.67,2.95,2.36,0.25,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June ,2.21,1.68,3.02,1.7,2.07,1.73,2.76,4.04,2.07,4.06,4.2,1.46,0.51,3,3.48,3.32,0.2,1.87,2.72,2.87,7.06,2.53,4.09,6.98,3.26,2.13,4.31,2,4.34,3.19,3.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July ,2.98,2.81,4.42,3.21,2.35,3.1,6.89,6.47,2.13,2.53,2.23,2.5,7.27,5.72,1.09,0.6,3,2.23,11.48,5.48,4.28,4.22,2.3,2.49,7.23,2.19,5.61,2.75,3.66,4.28,6.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August ,4.08,3.51,1.06,1.93,4.5,4.65,1.18,5.51,1.09,2.29,4.23,3.52,3.87,6.27,2.44,4.74,2.46,4.85,3.81,5.37,2.61,3.06,5.55,5.12,2.16,2.93,1.87,1.83,4.15,3.59,4.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September ,2.08,0.32,2.68,3.06,1.16,3.12,2.92,1.31,3.72,2.01,3.09,5.47,1.31,5.09,5.44,1.6,2.8,2.65,3.39,4.96,5.88,2.35,1.02,3.09,3.41,5.44,4.41,1.86,1.4,5.29,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October ,5.09,5.27,4.94,5.31,5.37,3.18,4.24,0.6,3.3,3.85,3.94,3.29,3.54,3.47,6.9,4.26,3.96,4.89,3.08,3.55,1.91,4.11,4.03,3.53,1.76,4.01,3.58,4.88,4.47,2.7,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November ,4.07,3.93,2.3,4.94,3.76,3.43,3.5,2.52,4.52,2.01,2.41,5.4,5.28,2.51,5.51,7.38,1.63,3.05,3.69,4.34,3.96,6.52,5.18,4.58,1.69,3.69,7.23,4.53,1.46,3.41,4.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December ,6.23,3.53,1.45,1.14,5.33,5.13,4.05,5.26,0.39,5.15,3.69,4.97,2.02,4.28,7.93,2.86,3.16,5.19,4.78,0.74,2.26,3.27,4.85,7.06,1.28,1.72,4.03,3.07,2.73,1.79,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total ,35.06,36.72,34,33.83,31.34,37.51,39.59,36.41,35.57,35.24,37.5,39.11,39.4,44.77,42.94,37.42,24.91,38.76,45.27,33.99,40.86,35.43,36.64,41.68,34.67,36.54,45.35,33.14,31.42,33.35,34.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
