BAILDON (WEECHER RESERVOIR),,,,,,,,,,,,
Grid ref,SE136423,Long,-1.794625,Lat,53.876724,,,,,,,
Station no,3292/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.96,2.96,0.63,3.12,1.51,3.66,2.42,2.62,2.65,4.81,,
February,2.76,0.80,1.34,2.19,1.67,1.36,2.65,4.76,0.31,2.37,,
March,3.37,1.88,0.94,2.10,2.27,1.25,2.03,1.83,1.43,1.92,,
April,1.70,1.76,2.63,1.59,0.99,2.89,0.35,0.88,3.30,1.46,,
May,3.35,3.07,1.34,4.35,3.19,0.89,1.26,3.98,1.38,1.53,,
June,1.11,2.59,2.58,1.87,1.78,2.55,1.75,4.70,1.79,0.89,,
July,2.34,1.34,3.86,2.02,0.80,4.27,2.72,3.58,2.85,4.84,,
August,5.26,4.46,3.82,5.91,0.76,7.14,5.50,2.85,0.57,3.87,,
September,2.41,2.99,2.56,4.31,1.44,4.35,5.21,3.45,0.19,3.70,,
October,1.31,3.50,2.13,4.27,2.20,1.60,3.24,2.97,3.66,5.20,,
November,7.36,2.28,3.70,5.92,2.33,1.59,2.24,0.86,4.32,6.03,,
December,4.27,2.65,2.04,4.91,3.58,3.52,3.39,4.34,6.04,3.71,,
Total,38.20,30.28,27.57,42.56,22.52,35.07,32.76,36.82,28.49,40.33,,
Calc annual,38.20,30.28,27.57,42.56,22.52,35.07,32.76,36.82,28.49,40.33,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
