WATERMILLOCK,,,,,,,,,,,,,,,,,,,,
Grid ref,NY442235,Long,-2.8653088,Lat,54.603573,Elevation,720,ft,,,,,,,,,,,,
Station no,3602/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,8.1,4,9,10,6.5,6,12.4,4.7,6.2,7.8,7.2,4.4,11.9,13.6,,,,,,
February,6,7.6,2,3.7,3,7,4.9,5,9,10.3,7.6,4.8,7.5,1.1,,,,,,
March,7.5,7.3,4.2,2.8,4.6,2,3.8,3.4,7.8,2,3.3,5.2,3.5,2.4,,,,,,
April,2.5,1.5,5,4.5,1.1,1,3,6.9,5,0.3,2.5,2.4,2.1,0.2,,,,,,
May,4,1,3.1,3.2,2,7.4,1.5,2.2,3.4,2.3,4.3,1.1,2.8,1.5,,,,,,
June,6.2,2.2,6.4,3.8,4,1,2.6,1.4,0.5,1.9,2.4,2.2,4.7,2.2,,,,,,
July,1.6,6.2,4.4,1.3,2.2,2.8,3.1,5,0.5,2.1,0.7,4.8,3.4,5.7,,,,,,
August,6.2,7,3,5.7,2.2,5,6.5,2.2,6.2,2.4,3.1,4,4.1,5.4,,,,,,
September,2,8.2,3.5,8.6,6.6,1,9.4,4.3,3.9,10.6,4.1,3.6,7.5,2.6,,,,,,
October,8.8,4.3,12.1,6,4.6,7.4,2.9,4.5,6,3.5,11.1,4.4,10,5.8,,,,,,
November,3,12,2.2,5.2,11.8,6.2,6.1,0.9,4.9,8.8,0.9,1.3,9.4,4.2,,,,,,
December,4.2,5.3,10.6,6.6,4.3,6.2,9,2.6,14.3,11.6,3.5,7.6,9.2,3.5,,,,,,
Total,60.1,66.6,65.5,61.4,52.9,53,65.2,43.1,67.7,63.6,50.7,45.8,76.1,48.2,,,,,,
,,,,,,,,,,,,,,,,,,,,
"The observer, William Rumney, was living at Benethead, Watermillock on his death in 1875. Elevation in village 810-813'",,,,,,,,,,,,,,,,,,,,
Long/Lat on record is at about 250m north east of Longthwaite Village but at about 650',,,,,,,,,,,,,,,,,,,,
NGR therefore given for location next to old track between Bennethead and Longthwaite at about 720',,,,,,,,,,,,,,,,,,,,
