LOUGHRIGG SILVERTHWAITE,,,,,,,,,,,,,,,,,,,,
Grid ref,NY341038,Long,-3.017224,Lat,54.425341,Elevation,292,ft,,,,,,,,,,,,
Station no,RR6572,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,5.68,6.22,11.27,9.32,4.54,11.9,3.78,10.98,7.78,11.41,5.32,8.8,11.75,6.52,8.04,11.55,4.12,,
February,,2.22,4.46,12.33,6.32,4.17,6.68,5.56,4.82,6.75,12.71,12.26,6.26,6.8,10.69,13.56,7.39,1.7,,
March,,4.92,5.42,12.32,5.31,6.49,5.65,8.47,7.19,5.66,5.48,3.71,11.13,9.72,8.64,3,1.64,3.92,,
April,,5.07,4.1,2.89,6.79,6.61,2.52,3.37,3.28,4.79,4.93,5.71,2.28,8.8,2.3,4.81,3.95,2.67,,
May,,1.7,3.98,4.77,4.32,2.69,8.44,7.34,5.73,3.39,3.28,3.64,3.44,4.56,3.41,1.71,4.15,4.28,,
June,,3.84,1.56,2.98,2.77,3.62,2.32,11.07,4.15,2.83,2.55,5.94,7.71,6.14,1.3,2.43,4.2,3.38,,
July,,1.42,3.89,6.57,4.11,3,3.83,3.16,5.73,8.61,5.38,1.31,6.32,1.02,4.8,6.36,3.24,2.17,,
August,,7.87,5.34,9.85,5.83,7.6,6.54,7.69,8.52,4.23,11.3,6.01,8.36,3.04,6.08,3.51,2.88,12.54,,
September,,5.15,3.78,6.88,4.74,5.19,2.7,1.57,8.64,4.68,0.72,6.05,3.35,2.86,3.81,1.3,2.87,7.38,,
October,,8.08,8.65,16.93,4.69,5.34,10.91,9.82,4.12,15.27,4.45,7.76,9.98,4.57,2.9,2.51,15.11,13.02,,
November,,12.16,6.91,4.85,7.12,9.55,6.97,7.8,6.57,4.6,7.82,13.28,7.96,9.33,14.67,4.19,11.91,8.2,,
December,,10.07,9.59,6.53,8.3,7.42,5.69,13.62,7.85,13.98,11.34,15.52,13.15,6.84,12.3,12.72,8.1,4.44,,
Total,,68.18,63.9,98.17,69.62,66.22,74.15,83.25,77.58,82.57,81.37,86.51,88.74,75.43,77.42,64.14,76.99,67.82,,
