LOUGHRIGG SILVERTHWAITE 2nd gauge,,,,,,,,,,
Grid ref,NY341038,Long,-3.017224,Lat,54.425341,Elevation,280,ft,,
Station no,RR6572,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,12.11,4.23,11.64,
February,,,,,,4.55,6.48,6.89,5.11,
March,,,,,,6.41,5.78,8.94,7.39,
April,,,,,,6.95,2.33,3.3,3.27,
May,,,,,,2.85,8.27,7.26,5.62,
June,,,,,,3.9,2.34,10.74,4.01,
July,,,,,,2.84,4.36,2.95,5.56,
August,,,,,,7.31,6.9,7.55,8.38,
September,,,,,,4.97,3.35,1.63,9.42,
October,,,,,,5.41,11.71,9.67,4.24,
November,,,,,,9.3,8.82,7.76,7.44,
December,,,,,,7.32,6.49,14.05,7.76,
Total,,,,,,,78.94,84.97,79.84,
,,,,,,,,,,
1905 Jan and total  estimated,,,,,,,,,,
1907 Feb,,,,,,,,,,
