LLANFILLO-COUNTY-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO120322,Long,-3.2827174,Lat,51.981266,Elevation,700,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,4206/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.71,,3.01,,3.68,,,,7.4,1.1,0.6,3.71,3.53,0.85,2.71,3.46,4.56,2.62,,,
February,,,,,,,,,,2.22,3.7,0.3,,1.01,2.8,,,2.55,1.32,,3.77,0.68,2.31,4.2,2.24,0.71,4.41,6.49,,
March,,,,,,,,,,2.55,3.56,2.56,,0.34,,,8.26,1.47,1.47,1.05,4.38,1.68,2.37,3.46,3.07,1.53,2.59,0.9,,
April,,,,,,,,,,3.17,1.03,1.5,,1.28,,,3.22,2.25,3.22,2.43,2.28,2.45,2.82,0.79,0.67,1.06,0.09,,,
May,,,,,,,,,,2.77,2.55,3.1,,0.75,3.23,,2.68,2.39,2.37,2.04,3.6,3.95,1.85,2.12,4.07,0.59,2.57,2.72,,
June,,,,,,,,,1.9,0.64,1.33,0.19,,1.79,3.59,,1.88,2.95,0.67,1.4,0.8,2.73,1.31,4.43,4.25,1.86,1.51,1.39,,
July,,,,,,,,,6.99,4.05,2.9,2.53,,1.86,,,1.65,1.16,0.53,3.72,0.65,2.24,4.16,2.61,3.41,3.2,3.07,0.41,,
August,,,,,,,,,2.07,0.22,3.77,2,,,,,0.5,3.16,1.5,4.23,4.66,6,3.18,4.69,1.24,4.24,,2,,
September,,,,,,,,,0.49,1.57,0.91,,,2.42,1.96,,1.79,1.84,1.89,4.88,2.54,2.99,3.8,3.24,2.71,3.47,,3.15,,
October,,,,,,,,,3.55,4.71,2.96,,,5.13,5.46,1.79,0.72,2.73,6.13,2.31,1.14,4.19,2.99,5.16,1.64,1.64,,2.18,,
November,,,,,,,,,7.61,9.19,2.87,,,5.12,0.57,6.95,3.37,1.75,4.16,4.37,7.77,2.3,2.1,9.04,2.63,1.23,2.39,,,
December,,,,,,,,,1.79,,2.34,,,3.28,,,2.98,4.5,3.84,1.67,2.84,4.97,0.99,4.39,4.49,4.49,,,,
Total,,,,,,,,,,,,,,,,,,34.15,28.2,,38.14,37.71,28.73,46.84,33.88,28.58,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is a school near Llanfillo. Stated altitudes is 25 ft. too low but probabaly rounded.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1950s record has an NGR of SO121324, which is 200m NNE; the record notes the gauge is in the school playground",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
