FILLEIGH CASTLE HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS668281,Long,-3.8999,Lat,51.0373,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,7.87,4.15,3.86,0.12,3.27,4.13,2.08,3.6,5.88,1.59,3.85,4.95,1.84,5.5,7.23,5.12,6.5,5.48,2.99,4.2,7.55,4.87,5.38,8.2,2.61,6.79,2.77,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,1.88,3.26,2.37,1.66,2.24,1.99,0.98,2.06,1.87,2.63,1.14,1.8,1.95,4.37,4.82,4.91,2.31,5.57,2.48,3.08,5.3,0.16,2.32,2.04,5.54,4.16,1.28,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,0.39,1.77,0.99,2.54,1,4.27,2.12,4.27,5.04,4.76,3.87,2.23,3.14,3.57,3.37,3.91,3.91,2.99,1.62,2.2,3.91,3.21,2.12,1.68,6.58,4.81,1.78,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,1.72,3.61,0.29,1.04,4.28,4.5,4.12,4,2.77,0.78,3.65,1.99,2.23,1.01,1.75,4.23,2.98,2.71,0.49,3.6,3.52,1.84,1.98,2.13,4.69,4.16,4.03,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,2.21,1.91,3.52,2.28,3.43,2.03,3.4,2.24,4.49,0.83,3.51,2.2,1.58,4.09,1.64,2.72,1.86,6.17,2.36,0.33,2.6,2.95,0.36,3.74,0.61,4.06,5.95,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,4.8,5.3,3.21,4.8,3.37,2.2,2.15,2.24,8.52,3.95,4.28,6.6,3.82,2.1,2.94,1.09,0.31,0.5,1.49,2.11,4.52,1.84,0.92,3.61,1.25,2.22,3.44,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,1.43,5.13,3.74,3.47,2.11,4.86,4.22,1.99,3.84,5.63,4.35,1.12,1.27,4.63,3.26,6.1,0.78,0.93,2,6.31,7.39,5.51,4,2.78,1.45,5.96,2.46,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,7.06,3.07,1.69,2.18,3.35,1.69,1.87,5.24,9.01,3.45,3.73,4.6,2.5,6.77,5.24,2.33,5.51,2.28,2.44,1,4.15,7.47,5.87,2.55,5.29,5.94,2.73,8.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,3.48,3.28,1.82,1.84,4.44,3.56,3.46,7.07,3.37,5.04,5.03,6.81,5.51,0.44,10.19,2.46,3.8,7.09,2.59,4.55,4.79,4.86,8.12,5.37,4.05,3.13,6.04,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,6.08,5.94,3.3,5.87,6.74,3.11,5.41,3.85,5.75,4.9,3.04,8.65,5.87,2.73,5.68,2.34,7.8,6.43,4.85,9.71,4.14,8.67,4.62,6.49,7.85,4.91,4.22,7.96,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,3.83,8.1,2.87,3.38,0.48,2.14,1.61,2.23,5.1,3.14,7.19,2.08,6.34,4.51,5.17,5.36,0.93,2.77,4.62,2.43,2.42,6.38,2.84,3.06,8.21,4.46,7.82,5.18,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,2.46,5.61,1.28,5.7,2.59,4.45,1.73,5.53,2.95,4.63,2.3,4.72,3.81,2.47,3.16,6.48,4.65,8.85,5.24,2.52,2.86,6.04,1.45,10.08,2.25,9.91,4.1,1.02,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
