"ASHFORD (MAGAZINE ROAD)",,,,,,,,,,,,
Grid ref,TR008433,Long,0.869927,Lat,51.153716,,,,,,,
Station no,275/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.27,2.57,1.56,1.62,3.67,4.46,2.03,3.72,2.34,3.48,,
February,5.82,1.43,2.22,2.30,2.14,2.18,4.64,3.30,0.04,2.18,,
March,3.46,3.69,0.21,3.16,2.20,0.76,1.16,1.57,1.89,1.72,,
April,1.78,1.40,1.56,0.30,0.29,0.75,0.42,1.55,2.62,0.76,,
May,2.08,1.26,1.49,1.66,4.35,0.48,1.20,2.18,0.79,1.71,,
June,1.67,1.31,2.87,2.88,1.79,2.49,1.45,4.22,2.22,1.03,,
July,1.50,0.61,2.52,3.57,1.12,2.15,2.89,1.89,2.41,2.27,,
August,4.07,3.59,2.16,3.64,2.09,3.29,2.93,4.70,1.15,4.83,,
September,3.66,4.45,3.63,2.19,1.58,2.49,3.64,3.65,0.15,2.65,,
October,2.24,2.85,2.94,2.11,6.38,1.25,1.36,4.52,2.90,7.22,,
November,4.93,3.78,1.65,5.52,1.25,0.88,4.33,2.04,4.27,6.12,,
December,2.88,3.12,1.08,1.61,2.77,3.17,1.90,4.27,6.60,4.23,,
Total,37.36,30.06,23.89,30.56,29.63,24.35,27.95,37.61,27.38,38.20,,
Calc annual,37.36,30.06,23.89,30.56,29.63,24.35,27.95,37.61,27.38,38.20,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
