ASHFORD-GAS-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TR003424,Long,0.8622861,Lat,51.145809,Elevation,125,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,275/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,2.13,2.57,1.85,4.52,5.36,3.74,6.04,2.33,3,2.44,5.47,1.64,2.23,1.77,2.38,3.32,1.45,1.6,3.27,2.57,1.56,1.62,3.67,4.46,2.03,3.72,,
February,,,2.42,0.13,3.57,1.78,4.51,1.11,1.29,1.88,2.67,0.95,1.52,1.48,1.67,2.97,2,1.33,1.13,5.13,5.82,1.43,2.22,2.3,2.14,2.18,4.64,3.3,,
March,,,2.16,3.01,0.22,1.06,4.68,0.63,2.12,2.55,2,2.29,0.3,0.21,0.74,1.85,5.4,0.85,0.84,1.02,3.46,3.69,0.21,3.16,2.2,0.76,1.16,1.57,,
April,,,1.37,1.9,2.98,1.49,2.63,0.69,2.38,1.27,1.49,1.27,1.59,1.32,1.17,2,1.56,1.25,1.32,2.75,1.78,1.4,1.56,0.3,0.29,0.75,0.42,1.55,,
May,,,2.66,0.69,1.77,0.3,2.75,3.27,1.51,0.58,1.63,2.79,2.22,0.58,2.38,3.84,1.36,1.82,1.97,1.44,2.08,1.26,1.49,1.66,4.35,0.48,1.2,2.18,,
June,,,2.49,1.32,2.13,3.56,1.83,0.83,1.32,0.48,0.65,0.26,1.48,1.39,0.6,3.15,2.37,2.38,0.89,1.09,1.67,1.31,2.87,2.88,1.79,2.49,1.45,4.22,,
July,,,1.54,1.82,0.48,3.91,1.12,1.98,2.8,2.93,3.06,2.66,1.58,3.22,1.94,2.42,2.14,1.89,0.85,2.09,1.5,0.61,2.52,3.57,1.12,2.15,2.89,1.89,,
August,,,0.81,1.95,3.69,1.36,1.24,2.23,2.13,0.1,4.97,2.24,1.13,2.45,2.09,4.23,0.05,2.83,1.06,2.7,4.07,3.59,2.16,3.64,2.09,3.29,2.93,4.7,,
September,,,3.89,1.43,3.8,3.48,2.49,2.85,0.76,1.9,0.26,2.17,1.94,2.54,1.1,2.18,0.91,2.2,2.6,2.04,3.66,4.45,3.63,2.19,1.58,2.49,3.64,3.65,,
October,,,1.68,1.83,4.51,2.57,3.65,3.79,9.36,3.41,1.46,3.47,2.55,4.75,1.58,2.55,0.27,1.53,7.05,0.77,2.24,2.85,2.94,2.11,6.38,1.25,1.36,4.52,,
November,,,1.42,3.17,5.65,4.71,1.33,2.74,5.15,6.7,4.2,2.19,2,4.96,0.84,4.32,1.78,1.5,4.09,6.14,4.93,3.78,1.65,5.52,1.25,0.88,4.33,2.04,,
December,,,0.44,6.34,4.04,2.49,5.28,3.26,1.79,1.9,1.67,3.02,1.94,2.41,3.82,3.33,2.93,2.55,1.39,2.54,2.88,3.12,1.08,1.61,2.77,3.17,1.9,4.27,,
Total,,,23.01,26.16,34.69,31.23,36.87,27.12,36.65,26.03,27.06,25.75,23.72,26.95,20.16,34.61,23.15,23.45,24.64,29.31,37.36,30.06,23.89,30.56,29.63,24.35,27.95,37.61,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959 Gauge moved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
