ASHFORD-GAS-WORKS (MAGAZINE ROAD),,,,,,,,,,
Grid ref,TR009432,Long,0.87129882,Lat,51.152783,Elevation,125,ft,,
Station no,275/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,2.34,3.48
February,,,,,,,,,0.04,2.18
March,,,,,,,,,1.89,1.72
April,,,,,,,,,2.62,0.76
May,,,,,,,,,0.79,1.71
June,,,,,,,,,2.22,1.03
July,,,,,,,,,2.41,2.27
August,,,,,,,,,1.15,4.83
September,,,,,,,,,0.15,2.65
October,,,,,,,,,2.9,7.22
November,,,,,,,,,4.27,6.12
December,,,,,,,,,6.6,4.23
Total,,,,,,,,,27.38,38.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1959 Gauge moved,,,,,,,,,,
