BLABY-WHETSTONE-ROAD (Gauge No 2),,,,,,,,,,
Grid ref,SP564978,Long,-1.1691899,Lat,52.575102,Elevation,222,ft,,
Station no,RR6616,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,3.72,1.28,2.03,,,,3.33
February,,,,0.89,1.43,2.95,,,,2.24
March,,,,3.3,2.42,1.06,,,,3.12
April,,,,2.35,1.64,0.92,,,,2.2
May,,,,1.84,1.44,1.87,,,,0.78
June,,,,0.88,2.18,2.77,,,,0.95
July,,,,1.21,2.72,6.68,,,,3.61
August,,,,0.92,1.33,2.65,,,,2.25
September,,,,1.71,0.84,1.86,,,,2.4
October,,,,3.39,1.87,1.22,,,,1.7
November,,,,2.43,2.82,2.26,,,,2.06
December,,,,0.78,4.63,4.5,,,,3.94
Total,,,,23.42,24.6,30.77,,,,28.58
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,
There are four values identical to the other gauge on this site,,,,,,,,,,
