PETERSTONE WENTLLOOG,,,,,,,,,,,,
Grid ref,ST268801,Long,-3.056284,Lat,51.515061,,,,,,,
Station no,4004/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,4.27,3.77,3.05,,4.77,4.82,,
February,,,,,2.09,0.50,6.04,,0.45,2.80,,
March,,,,,1.72,0.77,3.76,,2.75,2.35,,
April,,,,,1.88,1.53,0.18,,3.27,2.73,,
May,,,,,4.50,0.42,1.72,,1.29,1.41,,
June,,,,,3.19,2.50,1.22,,1.32,1.84,,
July,,,,,0.21,3.03,4.79,4.34,4.57,6.21,,
August,,,,4.43,0.31,3.90,,4.79,2.32,4.93,,
September,,,,6.09,1.33,4.58,,7.45,0.16,5.84,,
October,,,,5.45,1.69,1.46,,4.32,4.34,7.70,,
November,,,,8.25,3.38,1.17,,2.08,4.48,8.24,,
December,,,,3.29,4.73,4.39,,4.43,9.15,4.28,,
Total,,,,,29.30,28.02,,,38.87,53.15,,
Calc annual,0.00,0.00,0.00,27.51,29.30,28.02,20.76,27.41,38.87,53.15,,
Difference,NaN,NaN,NaN,NaN,0.00,-0.00,NaN,NaN,-0.00,-0.00,,
