EASTRIGGS (DORNOCH HOUSE),,,,,,,,,,,,,,,,,,,,
Grid ref,NY232660,Long,-3.2015992,Lat,54.982654,Elevation,50,ft,,,,,,,,,,,,
Station no,5031/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,3.82,2.79,3.75,5.5,,0.68,4.65,3.48,2.32,2.91,2.98,4.01,6.18,1.28,
February,,,,,,1.84,3.51,1.04,3,,2.53,1.57,1.7,0.65,3.58,,,,2.17,
March,,,,,,2.18,1.47,1.81,2.5,4.89,3.21,2.2,1.05,0.16,1.67,,,,1.25,
April,,,,,,0.47,2.38,0.36,1,1.28,1.28,1.36,2.09,1.66,2.51,,,,1.23,
May,,,,,,0.3,1.51,3.47,0.71,0.81,3.01,2.83,4.08,2.13,4.44,1.47,3.23,,,
June,,,,,3.17,1.32,2.54,3.62,2.49,0.89,0.73,0.89,3.48,3.72,3.43,2.98,2.73,,,
July,,,,,1.78,3.31,3.35,5.58,4.87,5.28,2.46,2.16,2.66,2.91,3.5,3.01,3.82,,,
August,,,,,2.85,2.16,1.76,2.24,1.68,1.48,5.47,2.38,5.97,3.57,1.26,4.27,0.15,5.21,,
September,,,,,4.37,6.09,2.54,2.74,1.84,2.98,1.1,3.8,3.96,5.52,2.99,4.48,2.07,4.03,,
October,,,,,5.28,3.7,2.94,6.27,1.9,2.26,4.6,3.43,4.45,2.45,3.3,0.42,0.69,2.51,,
November,,,,,4.51,4.43,1.03,5.62,3.65,3,2.33,0.71,1.98,5.52,0.16,3.76,,3.67,,
December,,,,,1.88,3.09,2.2,2.31,1.23,2.83,1.74,3.4,1.49,3.87,2.04,3.5,2.26,2.9,,
Total,,,,,,32.71,28.02,38.81,30.37,,29.14,29.38,36.39,34.48,31.79,,,,,
,,,,,,,,,,,,,,,,,,,,
"1940 Jan 2.1, Feb 1.53 and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,
"1947 Feb 0.5, Mar 4.5, Apr 4.36, Nov 4.5 and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,
