"LONG STRATTON, GREAT MOULTON RECTORY",,,,,,,,,,,,
Grid ref,TM165906,Long,1.186066,Lat,52.470380,,,,,,,
Station no,RR4413,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.44,0.94,0.54,,
February,,,,,,,,1.50,2.25,0.53,,
March,,,,,,,,1.05,2.16,2.83,,
April,,,,,,,,3.76,2.81,1.24,,
May,,,,,,,,1.76,1.83,1.35,,
June,,,,,,,,3.43,0.66,3.11,,
July,,,,,,,,1.46,3.20,2.43,,
August,,,,,,,,1.35,3.14,2.04,,
September,,,,,,,,0.57,1.49,1.97,,
October,,,,,,,,2.88,1.24,3.65,,
November,,,,,,,,2.67,1.51,1.19,,
December,,,,,,,,3.04,1.67,5.16,,
Total,,,,,,,,24.91,22.90,26.04,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.91,22.90,26.04,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
