DUNROBIN CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NC853008,Long,-3.941266,Lat,57.981607,Elevation,14,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5800/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,3.72,0.98,3.45,2.2,1.51,2.07,1.29,3.05,2.07,4.73,2.17,3.16,2.72,1.83,1.53,3.32,2.11,3.23,2.57,2.98,3.28,2.97,1.36,1.9,4.24,4.42,2.99,2.18,3.94,1.18,3.38,2.87,4.12,3.37,3.36,,,,,,,,,,,,,,,,,,,,,,,4.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,1.5,4.23,4.84,1.39,1.15,1.34,3.31,2.51,1.9,0.96,2.05,1.41,1.35,1.86,4.2,1.45,2.88,2.95,2.41,5.23,1.09,1.86,1.22,4.81,1.55,1.19,2.5,1.1,3.08,3.78,3.73,5.81,3.16,5.05,1.54,,,,,,,,,,,,,,,,,,,,,,3.61,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,1.06,4.4,3.1,3.34,2.22,1.61,2.26,4.61,2.12,1.8,2.27,1.34,1.42,3.4,1.68,4.78,4.02,1.03,1.27,1.97,2.92,2.82,3.68,3.23,2.91,2.51,2.24,2.41,2.1,1.53,4.41,2.41,1.99,4.34,3.11,,,,,,,,,,,,,,,,,,,,,,1.74,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,1.53,2.55,2.03,0.35,1.92,1.9,1.47,2.86,1.11,0.44,1.25,1.11,2.07,1.96,3.11,2.27,0.54,2.17,1.45,0.46,1.62,2,0.68,3.04,4.04,2.95,2.04,1.81,2.69,5.25,1.73,2.18,2.2,2.31,3.58,,,,,,,,,,,,,,,,,,,,,,,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,1.38,1.03,2.44,2.75,2.63,1.2,2.64,1.57,2.14,2.74,3.47,2.87,0.93,2.62,0.83,1.42,2.22,3.35,1.28,3.55,1.1,1.69,2.55,3.36,2.53,1.85,2.17,2.91,1.83,1.5,1.14,4.5,2.18,2.33,2.2,,,,,,,,,,,,,,,,,,,,,,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,2.28,2.13,3.26,1.97,2.95,2.77,3.3,3.61,1.66,0.8,1.94,1.91,0.87,2.4,0.95,3.09,1.68,1.59,1.34,1.55,2.75,4.16,1.54,1.6,1.5,2.4,2.26,2.15,1.36,1.28,0.86,0.53,4.89,2.25,1.93,,,,,,,,,,,,,,,,,,,,,,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,2.66,1.9,3.79,1.27,5.13,3.5,4.1,4.25,4.62,2.04,1.82,2.35,1.8,2.65,1.34,2.64,3.97,2.81,3.01,5.02,3.94,3.31,1.03,1.07,3.18,5.29,2.93,3.54,5.23,1.14,1.75,3.34,1.57,1.95,1.9,,,,,,,,,,,,,,,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,2.26,1.67,4.69,3.06,3.47,1.08,1.84,2.15,4.24,2.31,1.14,1.81,2.5,2.09,4.86,3.46,3.85,2.73,2.67,3.76,3.3,1.72,2.57,2.57,1.15,3.15,2.89,1.31,3.94,3.03,3.15,3.37,3.7,1.56,1.81,,,,,,,,,,,,,,,,,,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,2.02,2.62,1.09,4.53,1.56,2.48,3.9,3.6,2.86,0.93,4.51,2.01,2.08,1.66,1.87,2.72,1.92,3.03,4.55,0.19,1.38,4.67,1.71,3.84,4.81,2.34,1.58,1.85,2.31,2.4,2.11,2.08,1.04,3.69,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,3.1,3.03,4.09,3.05,2.15,3.37,3.22,1.5,4.43,4.16,3.37,1.9,2.67,5.34,3.12,5.71,0.77,3.78,4.49,2.27,5.91,3.07,3.14,3.23,2.05,2.76,3.52,1.64,4.63,1.82,3.86,2.44,2.01,0.86,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
