DUNROBIN CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NC853008,Long,-3.941266,Lat,57.981607,Elevation,14,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5800/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,1.9,1.85,1.7,5.38,0.75,4.3,2.04,2.6,4.81,1.6,2.41,1.63,2.8,2.02,4,4.05,1.1,3.65,2.43,1.5,1.7,1.2,3.1,2,4.9,2.5,3.25,2.4,2,1.6,3.35,2.04,3.6,2.85,2.85,3.11,2.8,1.25,2,4.6,4.5,3.2,2.25,4,1.2,3.2,3,3.2,3,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,2.7,1.65,2.45,1.47,4.6,2.23,2.73,2.6,4.8,4.35,2.13,3.25,2,2.2,0.5,1.25,5.8,5.3,1.25,1.15,1.25,3.4,2.55,2.3,1,2.15,1.56,1.6,2,4.5,1.4,3,2.8,2.7,5,1.2,1.85,1.3,4.8,1.6,1.25,3,1.8,3.1,4,3.5,6,3.1,4.7,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,3,3.52,2.2,1,3.35,2.65,1,1,2.1,2,0.58,1.3,1.2,1.31,3.3,0.75,5.1,3.1,3.45,2.55,1.45,2.3,4.7,2.25,1.9,2.55,1.4,1.3,3.7,1.5,4.85,3.9,0.95,0.8,1.75,2.95,2.65,3.45,3.17,3.05,2.65,2.2,2.4,2.2,1.4,4.1,2.3,1.7,4,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,1.3,0.35,1.25,3.33,0.7,0.52,0.62,2.8,1.22,1.9,1.32,3.63,1.6,1.8,1.45,1.46,3.2,2.05,0.3,1.52,1.75,1.45,2.9,1.1,0.5,1.2,1,2,1.85,3,2.2,0.45,1.95,1.7,0.5,1.45,1.85,0.7,3.1,4.2,3.1,2.3,2,2.65,5.5,1.6,2,1.85,2.1,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1.9,0.85,1.8,1.25,2,0.9,0.87,1.73,1.4,0.2,0.9,0.42,1.43,2.52,1.6,1,1.1,2.44,2.5,2.22,0.92,2.5,1.5,2.2,2.7,3.2,2.75,0.95,2.35,1.28,1.3,2.15,3,0.95,3.2,1.1,1.5,2.3,3.5,2.4,1.65,2.5,2.85,1.6,1.8,1.1,3.6,2.1,2,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,3.5,0.45,2.75,1.22,1.1,0.38,1.87,1.7,1.58,0.6,0.85,0.8,5.42,1.73,1.4,2.2,1.95,3.6,1.95,2.75,2.45,3,3.5,1.5,0.9,2,1.8,0.8,2.25,0.9,3.2,1.6,1.4,1.1,1.5,2.42,3.75,1.45,1.45,1.5,2.22,2.5,2,1.15,1.6,0.7,0.5,4.6,1.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,1.9,3.55,1.45,0.3,1.45,1.84,1.5,2.03,0.25,0.7,0.5,3.5,2.5,3.61,1.1,2.4,1.8,3.85,1.28,5.1,3.25,4,4.1,4.6,2.05,1.9,2.1,1.8,2.4,1.4,2.35,3.85,2.4,2.65,4.5,3.25,3.1,1,0.8,3.3,5.37,2.9,3.7,5.5,0.8,1.5,3.15,1.25,1.6,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,3.8,3.2,1.65,3.28,1.08,1.76,2.25,1.8,5.2,1.3,0.92,1.5,1.83,3.82,5,2.1,1.32,4.69,2.85,3.25,0.95,1.8,2.2,3.8,2.65,1.4,1.9,2.3,2,4.75,3.3,3.6,3,2.2,3.2,3.2,1.1,2.3,2.4,1,3.1,2.18,1.2,4,2.5,3.5,3.25,3.7,1.3,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,1.3,4.5,0.85,4.95,4.2,0.81,2.4,2.5,2.85,4.2,1.95,2.77,3.5,3.3,2.6,2.1,2.45,0.8,4.7,1.8,2.35,3.95,3.65,2.75,1.1,4.4,1.9,2,1.5,1.75,2.8,1.8,2.5,3.85,0.1,1.25,4.4,1.5,4,4.5,2.5,1.5,1.8,2.4,2.15,2.2,1.8,0.9,3.55,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,4,1.38,4.6,1.95,3.83,3.6,1.42,3.9,3.1,4.1,2.88,2.55,5,3.3,3.15,2.95,2.8,4.05,3,1.95,3.3,3.3,1.45,4.7,4.5,3,2,2.35,5.1,3,5.5,0.7,3.85,4,2.2,5.69,3,3.1,3.5,2.1,3,3.75,1.5,5,1.7,3.66,2.3,1.8,0.65,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
