AMPTHILL-STEPPINGLEY,,,,,,,,,,,
Grid ref,TL009353,Long,-0.53142422,Lat,52.006974,Elevation,350,ft,,,
Station no,RR7354,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,2.31,1.47,2.28,2.03,3.47,1.06,
February,,,,,0.58,2.17,2.71,2.77,1.24,0.58,
March,,,,,0.82,0.98,0.17,1.85,1.35,0.06,
April,,,,,2.69,1.29,3.11,1.39,1.07,1.87,
May,,,,,5.98,2.18,2.4,0.76,1.71,1.51,
June,,,,,2.49,0.04,2.44,2.97,2.14,0.94,
July,,,,,3.73,2.42,1.91,2.04,2.5,1.16,
August,,,,,3,2.26,1.1,2.99,3.25,0.37,
September,,,,,3.16,2.93,1.84,4.35,0.72,0.25,
October,,,,,4.16,3.36,2.62,1.18,3.32,3.2,
November,,,,,2.6,1.62,2.92,2.47,1.95,5.63,
December,,,,,3.25,1.84,0.49,2.66,2.54,3.92,
Total,,,,,34.77,22.56,23.99,27.46,25.26,20.55,
