PORTMELLON,,,,,,,,,,
Grid ref,SX018437,Long,-4.782054,Lat,50.259947,Elevation,120,ft,,
Station no,1920/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,3.73,4.94,6.77,4.49
February,,,,,,,5.36,4.76,0.44,4.01
March,,,,,,1.46,4.82,3.24,4.85,4.09
April,,,,,,1.04,0.34,1.08,3.03,2.64
May,,,,,,1.23,3.41,3.21,1.34,1.98
June,,,,,,2.51,3.05,3.19,0.87,1.41
July,,,,,,3.95,2.91,2.67,1.9,4.46
August,,,,,,4.08,3.8,5.2,5.11,3
September,,,,,,5.43,3.31,5.32,0.05,6.4
October,,,,,,2.83,2.69,2.99,6.36,7.61
November,,,,,,1.92,2.48,2.61,7.54,6.3
December,,,,,,5.12,2.98,6.37,7.81,4.79
Total,,,,,,,38.88,45.58,46.07,51.18
,,,,,,,,,,
House unknown NGR taken from sheet,,,,,,,,,,
,,,,,,,,,,
SRC_ID 8685,,,,,,,,,,
1956-1964,,,,,,,,,,
