"KIDDERMINSTER (PUMPING STATION)",,,,,,,,,,,,
Grid ref,SO830759,Long,-2.251174,Lat,52.380867,,,,,,,
Station no,2412,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.87,2.01,0.53,,,,,,,,,
February,2.61,0.44,1.83,,,,,,,,,
March,4.61,1.79,0.93,,,,,,,,,
April,2.00,1.87,2.71,,,,,,,,,
May,2.95,1.78,2.35,,,,,,,,,
June,1.03,2.02,2.19,,,,,,,,,
July,0.98,0.55,2.04,,,,,,,,,
August,3.62,3.37,2.39,,,,,,,,,
September,3.06,1.26,2.30,,,,,,,,,
October,0.56,3.00,2.02,,,,,,,,,
November,6.24,1.98,1.85,,,,,,,,,
December,1.71,2.51,1.15,,,,,,,,,
Total,32.24,22.58,22.29,,,,,,,,,
Calc annual,32.24,22.58,22.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
