"LOCH CALDER (ACHAVARN WEIR)",,,,,,,,,,,,
Grid ref,ND090600,Long,-3.563924,Lat,58.518597,,,,,,,
Station no,5811/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,3.38,2.17,2.55,6.44,3.03,5.02,6.68,3.63,,
February,,,2.30,3.23,3.30,2.71,1.74,3.56,0.59,3.35,,
March,,,1.27,2.09,2.53,2.39,3.65,2.44,1.27,1.29,,
April,,,2.48,1.56,1.65,1.94,1.01,1.46,2.01,2.40,,
May,,,2.73,2.71,4.36,2.17,1.45,3.78,2.38,0.85,,
June,,,1.95,4.46,1.76,3.08,2.64,1.14,1.90,2.87,,
July,,,4.91,4.97,0.49,4.75,4.54,1.67,2.20,2.44,,
August,,,2.83,2.33,0.83,4.67,3.90,3.13,1.96,4.75,,
September,,,3.46,3.17,4.19,1.82,3.41,1.50,1.58,1.69,,
October,,,1.20,6.59,5.11,3.40,2.82,3.84,4.29,3.33,,
November,,4.31,3.07,5.63,2.60,4.65,2.66,1.61,5.31,3.76,,
December,,3.23,2.54,5.82,8.16,4.17,5.84,3.43,4.45,2.97,,
Total,,,32.12,44.73,37.53,42.19,36.69,32.58,34.62,33.33,,
Calc annual,0.00,7.54,32.12,44.73,37.53,42.19,36.69,32.58,34.62,33.33,,
Difference,NaN,NaN,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
