BRAYTON HALL WIGTON,,,,,,,,,,,,,,,,,,,,
Grid ref,NY168424,Long,-3.2936,Lat,54.7705,Elevation,220,ft,,,,,,,,,,,,
Station no,RR2382,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,2.89,4.55,1.6,3,5.2,2.8,3.63,4.4,4.03,,6.25,7.76,5,3.4,1.9,7,2.85,1.6
February,,,1.08,2.75,2.2,2.6,2,1.6,4.65,5.93,1.6,,2.85,0.75,2.86,1.2,2.95,2.6,2.13,2.2
March,,,2.25,0.8,3.7,1.4,4.2,0.8,5.31,0.6,1.53,,2.9,2.65,2.33,1.66,2.08,2,1.45,2.5
April,,,3.6,3.5,1.45,0.28,1.6,4.08,2.62,2.19,1.5,,1.79,0.38,1.7,1.08,2,2.3,1.26,1.4
May,,,2.3,3.23,1.9,4.7,1.4,1.4,2.6,2.68,3.27,,2.05,1.68,1.16,1.4,0.58,2.5,1.11,1.5
June,,,4.08,5.31,3.3,1,2.5,1.1,0.77,1.59,1.93,,5.16,1.8,0.24,2,3,2.9,1.75,4.25
July,,,4,1.25,1,1.84,3,3.1,0.73,1.28,0.8,,3.92,3.6,2.66,2.25,2.9,4,0.46,4.9
August,,,4.01,3.65,3.1,3.2,4.7,2.6,4.77,1.57,2.8,,2.85,5.2,5.45,3.5,4.4,6.92,4.2,4.1
September,,,1.88,7.4,3.8,1.4,6.4,2.7,2.46,6.94,2.94,,5.86,2.94,3.98,3.84,3.1,2.87,5.15,3
October,,,7.88,5.2,4.25,3.5,2,3.1,4.68,2.88,6.5,,6.84,5.27,6.86,3.4,4.5,5.2,4,1.9
November,,,2.08,4.7,3,3.3,5.7,2.69,2.58,5.32,2.56,,4.75,1.7,4.13,2.08,2.2,7.25,2.6,1.7
December,,,4.45,3.5,4.2,2.8,4,2,6.22,4.24,3.66,,4.15,1.5,2.3,3,5.7,3.75,2.4,3.2
Total,,,40.5,45.84,33.5,29.02,42.7,27.97,41.02,39.62,33.12,,49.37,35.23,38.67,28.81,35.31,49.29,29.36,32.25
