CRAIL KIRKMAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO605073,Long,-2.639,Lat,56.2569,Elevation,110,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,2.77,0.78,1.27,0.89,2.27,2.02,0.65,0.65,0.87,3.95,4.03,1.86,0.9,4.65,2.07,0.43,2.44,0.7,2.08,1.79,2.18,1.01,2.22,3.54,1.78,2.14,2.58,2.29,2.09,3.43,1.54,3.09,2.65,1.28,2.86,1.92,3.25,2.12,5.04,1.06,1.96,3.15,1.72,1.74,1.64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,1.06,0.1,1.65,2.66,4.24,0.6,0.85,0.99,0.64,2.38,4.59,1.31,1.36,4.42,5.64,0.72,0.65,1.31,0.66,1.07,2.74,1.26,2.68,1.28,2.35,4.56,2.18,0.74,2.9,2.38,1.97,0.48,2.23,4.12,0.85,3.68,4.29,1.22,1.39,1.55,1.06,1.97,0.33,2.12,0.07,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,1.68,2.21,0.63,0.76,1.08,2.13,1.69,3.14,0.38,1.96,1.58,1.55,1.2,2.28,1.38,2.88,1.14,1.75,3.14,3.12,0.96,1.01,2.06,3.47,2.94,1.18,3.14,1.04,0.93,1.58,2,2.5,2.3,1.11,1.09,2.21,0.79,2.38,2.87,0.13,1.41,1.3,3.5,0.9,3.12,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,0.46,0.64,1.34,1.07,1.04,1.23,1.05,1.41,2.82,3.54,1.53,1.79,1.47,0.62,1.74,1.48,1.23,1.67,1.29,3.28,2.36,1.02,0.07,2.33,1.14,0.69,2.24,1.75,0.54,2.07,1.49,0.79,2.34,2.55,1.53,4.15,1.83,1.24,1.12,1.94,2.07,2.06,1.94,2.6,4.54,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,2.58,1.85,3.32,1.41,3.18,0.41,1.04,1.04,2.47,4.61,1.82,2.15,1.85,1.01,2.69,1.64,5.05,3.24,1.79,2.07,1.7,1.21,1.68,3.63,2.02,1.41,3.73,1.78,4.59,1.1,2.85,2.18,0.77,1.43,3.93,3.67,2.5,2.5,1.05,1.37,1.47,2.93,2.61,1.28,1.97,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,2.78,0.69,3.16,2.2,2.17,1.52,2.43,4.7,1.55,1.3,1.06,1.69,2.62,1.93,1.69,0.66,1.3,4.38,1.13,1.48,1.08,1.75,3,1.62,0.62,2.27,3.99,1.13,1.21,1.83,0.64,0.47,1.42,1.16,2,0.48,2.54,2.78,4.39,1.63,1.95,5.94,0.91,1.46,1.94,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,3.04,2.56,1.6,3.02,3.39,4.95,4.67,2.14,1.39,2.31,4.55,0.96,2.8,5.65,1.99,1.74,1.49,2.43,2.5,3.76,2.24,1.5,1.93,0.51,1.47,2.37,5.06,1.34,3.36,1.11,3.53,1.94,3.87,0.98,4.9,1.57,2.42,3.08,1.39,3.31,3.31,5.04,3.58,3.1,2.41,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,,3.42,4.05,4.69,2.09,4.94,3.75,2.46,3.45,3.59,0.46,3.77,4.76,2.2,3.61,4.53,3.26,5.12,3.36,1.24,3.01,5.44,1.81,4.25,1.99,3.12,3.25,3.5,5.24,1.72,2.45,4.24,4.02,1.62,4.77,2.67,2.32,2.18,5.39,6.16,5.3,5.7,3.27,0.32,1.17,2.79,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,,1.94,3.49,1.46,2.05,0.56,1.15,3.17,2,2.08,3.73,1.73,1.36,1.28,2.7,2.05,2.45,0.91,0.92,5.81,1.49,1.12,1.06,2.98,2.08,0.7,2.57,1.4,1.41,4.23,1.77,1.78,1.73,2.75,2.31,4.68,4,4.13,5.67,2.68,0.79,4.8,1.37,2.52,1.26,3.2,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,2.79,2.04,4.21,2.07,2.92,2.9,3.92,1.49,3.46,1.71,5.13,1.72,1.49,5.88,0.58,1.54,7.13,6.81,2.21,3.53,3.22,2.2,4.18,2,2.27,2.56,4.44,2.5,2.18,2.18,2.49,3.64,1.74,1.61,4.76,2.2,5.34,4.09,2.98,2.44,2.33,1.13,6.95,2.76,2.91,5.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
