PRINCES-RISBOROUGH-RESEARCH-LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP7978202971,Long,-0.84646632,Lat,51.719799,Elevation,333,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,983/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.15,2.18,2.2,0.74,4.37,5.05,3.29,5.14,2.46,2.86,3.03,4.36,1.72,1.61,1.63,2.01,5.89,0.96,0.61,2.57,1.64,0.95,1.05,2.05,3.79,1.62,2.93,3.72,2.8
February,,0.2,3.44,0.24,2.52,2.49,3.88,0.76,1.26,2.17,2.42,0.73,1.24,1.47,1.8,1.89,1.32,0.79,1.31,4.85,5.02,0.64,1.92,2.25,1.56,0.38,3.19,2.52,0.02,2.46
March,,1.87,2.7,2.37,0.4,1.56,4.09,0.27,1.91,2.24,2.78,1.81,0.5,0.28,0.72,1.16,4.67,1.02,1.01,0.71,3.84,2.45,0.54,2.4,1.09,1.01,1.22,1.69,2.94,1.09
April,3.68,2.25,1.06,1.78,4.28,1.45,3.01,0.13,2.61,2.32,2.23,1.92,1.13,1.81,1.42,1.33,2.18,1.81,1.71,1.85,2.64,1.85,2.44,0.35,0.68,1.19,0.23,1.31,2.52,0.59
May,2.97,4.74,1.39,0.78,0.57,1.47,4.02,2.27,1.33,1.96,1.8,3.09,2.37,0.52,2.52,3.94,1.57,3.47,2.31,2.11,2.36,2.62,1.54,4.58,4.64,0.38,1.26,2.34,0.81,1.83
June,1.41,0.87,1.27,1.54,3.32,3.5,2.11,0.64,1.63,0.91,1.58,0.44,2.17,1.65,2.47,3.1,1.05,2.62,0.66,1.63,1.28,0.78,1.73,3.65,3.15,1.86,2.24,3.76,2.27,2.83
July,4.76,2.55,2.36,0.97,0.71,3.59,0.89,1.68,3.48,2.38,6.37,1.96,1.34,1.97,2.9,1.61,1.15,1.22,1.7,5.28,0.97,0.47,3.22,2.12,0.78,2.69,3.3,2.44,2.92,3.55
August,5.7,2.39,0.62,2.02,1.82,0.16,1.81,3.13,3,0.04,3.11,2.39,2.02,2.25,1.51,3.97,0.25,2.72,1.26,3.66,3.51,3.72,2.19,3.59,0.54,3.78,2.2,2.58,1.61,3.59
September,2.17,2.62,2.33,1.91,4.25,2.97,3.01,1.91,0.82,0.9,0.22,1.33,1.42,2.58,2.12,4.23,1.04,2.29,0.69,3.05,2.93,2.6,2.08,1.71,2.01,2.27,2.83,5.25,0.14,4.71
October,0.69,4.57,1.88,1.53,3.5,1.39,3.3,2.99,5.23,3.3,0.76,3.2,2.92,4.39,4.06,1.18,0.34,3.04,6.07,0.64,0.81,2.92,2.93,2.2,2.58,1.71,2.31,2.67,2.22,5.34
November,3.41,1.68,1.35,2.29,3.97,3.4,1.2,3.27,4.79,7.68,3.09,1.45,1.15,4.12,0.3,5.73,1.22,1.5,3.44,4.93,5.58,3.65,1.38,5.69,1.62,0.7,2.29,2.53,2.84,4.01
December,0.94,0.64,0.35,6.25,3.54,2.7,2.62,3.37,1.75,1.38,1.58,3.58,1.39,1.91,3.23,2.44,3.02,3.26,1.44,1.28,2.04,2.71,0.55,2.94,2.66,3.61,2.9,3.16,4.99,3.49
Total,,26.53,20.93,23.88,29.62,29.05,34.99,23.71,32.95,27.74,28.8,24.93,22.01,24.67,24.66,32.21,19.82,29.63,22.56,30.6,33.55,26.05,21.47,32.53,23.36,23.37,25.59,33.18,27,36.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 Jan-Mar estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
