"BOARS HILL (BLACKTHORN)",,,,,,,,,,,,
Grid ref,SP487019,Long,-1.296514,Lat,51.713725,,,,,,,
Station no,829,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.85,1.51,0.95,1.54,2.52,4.33,1.62,3.46,3.32,3.35,,
February,3.59,0.56,1.39,2.18,1.21,0.44,2.75,2.59,0.12,1.59,,
March,3.84,2.50,0.66,2.26,1.36,0.57,1.56,1.10,2.84,0.92,,
April,2.60,1.61,2.16,0.31,0.56,1.62,0.49,1.35,2.15,0.72,,
May,2.37,2.29,1.70,1.79,4.70,0.37,1.49,1.87,1.07,2.68,,
June,1.27,1.51,2.00,4.05,2.81,2.50,2.02,3.86,0.85,3.10,,
July,1.35,0.35,3.59,2.39,0.24,2.32,2.97,2.68,2.00,4.39,,
August,3.61,3.81,2.25,3.68,0.56,3.71,2.48,3.33,1.67,2.02,,
September,2.51,1.34,2.03,2.16,1.60,2.64,3.86,2.97,0.20,4.28,,
October,0.89,3.69,2.25,1.98,1.75,1.94,2.02,2.74,2.01,5.69,,
November,5.67,3.78,1.69,4.42,1.26,0.89,1.76,2.99,1.83,4.21,,
December,1.72,2.57,0.74,2.06,3.30,3.51,2.36,2.79,4.72,4.29,,
Total,32.27,25.52,21.41,28.82,21.87,24.84,25.38,31.73,22.78,37.24,,
Calc annual,32.27,25.52,21.41,28.82,21.87,24.84,25.38,31.73,22.78,37.24,,
Difference,0.00,-0.00,0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,,
