BOARS-HILL-BLACKTHORN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP487019,Long,-1.2965142,Lat,51.713725,Elevation,410,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,3.1,2.51,3.89,2.78,2.37,3.01,3.9,1.52,1.67,1.37,1.41,5.23,0.99,0.62,2.85,1.51,0.95,1.54,2.52,4.33,1.62,3.46,3.32,3.35
February,,,,,,,4.3,0.71,0.91,1.76,2.3,0.64,0.9,0.97,2.17,2.15,1.6,0.96,1.11,4.12,3.59,0.56,1.39,2.18,1.21,0.44,2.75,2.59,0.12,1.59
March,,,,,,,2.67,0.46,1.56,2.36,2.44,2.44,0.95,0.23,0.78,1.07,4.8,0.79,1.64,0.75,3.84,2.5,0.66,2.26,1.36,0.57,1.56,1.1,2.84,0.92
April,,,,,,,2.68,0.08,3.08,2.6,0.96,0.85,0.8,1.46,1.25,1.59,2.17,1.39,1.25,2.37,2.6,1.61,2.16,0.31,0.56,1.62,0.49,1.35,2.15,0.72
May,,,,,,,3.26,1.89,1.34,1.9,1.41,3.22,2.43,0.68,3.47,3.45,1.93,4.27,2.85,2.48,2.37,2.29,1.7,1.79,4.7,0.37,1.49,1.87,1.07,2.68
June,,,,,,,1.5,0.72,1.9,0.67,2.69,0.24,1.57,1.89,3.21,2.71,1.13,2.22,0.48,1.67,1.27,1.51,2,4.05,2.81,2.5,2.02,3.86,0.85,3.1
July,,,,,,3.6,1.96,1.35,4.33,2.62,5.74,1.94,1.13,2.36,2.1,1.12,1.82,0.86,1.12,4.97,1.35,0.35,3.59,2.39,0.24,2.32,2.97,2.68,2,4.39
August,,,,,,0.78,0.56,3.66,1.79,0.08,3.72,3.57,2.2,1.62,1.34,4.02,0.54,3.74,1.24,3.43,3.61,3.81,2.25,3.68,0.56,3.71,2.48,3.33,1.67,2.02
September,,,,,,3.26,1.69,1.6,0.62,0.83,0.32,1.17,2.12,2.44,2.15,3.62,1.09,2.14,2.55,3.26,2.51,1.34,2.03,2.16,1.6,2.64,3.86,2.97,0.2,4.28
October,,,,,,1.48,3.17,2.82,4.54,2.63,1.2,3.87,2.46,3.58,2.77,0.86,0.46,2.64,5.93,0.66,0.89,3.69,2.25,1.98,1.75,1.94,2.02,2.74,2.01,5.69
November,,,,,,2.71,1.37,2.78,3.99,6.62,3.1,2.28,1.62,3.89,0.16,4.26,1.65,1.58,2.74,4.27,5.67,3.78,1.69,4.42,1.26,0.89,1.76,2.99,1.83,4.21
December,,,,,,1.98,1.82,2.9,1.4,1.28,1.16,3.41,1,1.54,3.7,2.03,2.01,2.45,1.24,1.31,1.72,2.57,0.74,2.06,3.3,3.51,2.36,2.79,4.72,4.29
Total,,,,,,,28.08,21.48,29.35,26.13,27.41,26.64,21.08,22.18,24.77,28.25,20.61,28.27,23.14,29.91,32.27,25.52,21.41,28.82,21.87,24.84,25.38,31.73,22.78,37.24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record. Altitudes match. Balckthorn appears to be 150m N of the quoted NGR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
