BOARS-HILL-SHERWOOD,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP489023,Long,-1.2935636,Lat,51.717304,Elevation,444,ft.,,,,,,,,,,,,,
Station no,829,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,1.26,2.73,1.17,1.86,1.47,1.84,0.51,3.16,,,,
February,,,,,,,,,,0.55,0.46,1.81,0.08,3.29,0.17,2.16,1.65,,,,
March,,,,,,,,,,0.09,1.17,0.2,1.81,2.39,1.69,0.37,2.95,,,,
April,,,,,,,,,,1.23,1.82,3.08,2.48,1.18,2.26,3.42,1.37,,,,
May,,,,,,,,,,1.08,1.95,3.1,6.01,1.45,0.55,1.51,0.95,,,,
June,,,,,,,,,,1.2,0.71,2.8,0.2,1.17,1.23,4.58,,,,,
July,,,,,,,,,1.54,1.56,2.99,3.41,3.18,1.95,0.83,0.61,,,,,
August,,,,,,,,,2.98,0.86,2.24,4.69,2.21,1.18,1.92,1.69,,,,,
September,,,,,,,,,0.72,0.16,3.53,2.97,2.55,2.36,2.02,4.92,,,,,
October,,,,,,,,,3.39,2.86,1.37,0.66,5.05,1.54,1.62,4.39,,,,,
November,,,,,,,,,2.71,6.19,4.32,2.8,1.13,1.04,1.56,3.91,,,,,
December,,,,,,,,,2.21,5.07,2.7,0.86,0.67,0.31,5.4,2.86,,,,,
Total,,,,,,,,,,22.11,25.99,27.55,27.23,19.33,21.09,30.93,,,,,
,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 5869 BOARS HILL Start 1928 end 1962,,,,,,,,,,,,,,,,,,,,,
"NGR is Sherwood, Altitude reasonable match. Gauge moved from Sherwood to Blackthorn in 1936 the distance between NGRs is less than the 530 yards quoted, but Blackthorn NGR might be wrong. Could be+/- 200m",,,,,,,,,,,,,,,,,,,,,
